language_script	name
abk_Cyrl	Abkhaz
abn_Latn	Abua
ace_Arab	Acehnese
ace_Latn	Acehnese
ach_Latn	Acoli
acm_Arab	Gilit Mesopotamian Arabic
acq_Arab	Ta'izzi-Adeni Arabic
acr_Latn	Achi
ada_Latn	Adangme
aeb_Arab	Tunisian Arabic
afb_Arab	Gulf Arabic
afr_Latn	Afrikaans
agw_Latn	Kahua
ahk_Latn	Akha
ajg_Latn	Aja
ajp_Arab	South Levantine Arabic
aka_Latn	Akan
aln_Latn	Gheg Albanian
als_Latn	Northern Tosk Albanian
alt_Cyrl	Southern Altai
alz_Latn	Alur
amh_Ethi	Amharic
amh_Latn	Amharic
ami_Latn	Amis
aoj_Latn	Mufian
apc_Arab	North Levantine Arabic
ara_Arab	Arabic
arb_Arab	Arabic
arb_Latn	Arabic
arg_Latn	Aragonese
arn_Latn	Mapudungun
ars_Arab	Najdi Arabic
ary_Arab	Moroccan Arabic
arz_Arab	Egyptian Arabic
asm_Beng	Assamese
ast_Latn	Asturian-Leonese-Cantabrian
awa_Deva	Awadhi
aym_Latn	Central-Southern Aymara
ayr_Latn	Central Aymara
azb_Arab	South Azerbaijani
aze_Cyrl	Azerbaijani
aze_Latn	Azerbaijani
azj_Latn	North Azerbaijani
bak_Cyrl	Bashkir
bak_Latn	Bashkir
bam_Latn	Bambara
ban_Latn	Balinese
bar_Latn	Bavarian
bas_Latn	Basa
bba_Latn	Baatonum
bbc_Latn	Batak Toba
bci_Latn	Baoulé
bcl_Latn	Coastal-Naga Bikol
bel_Cyrl	Belarusian
bem_Latn	Bemba
ben_Beng	Bengali
ben_Latn	Bengali
bew_Cyrl	Betawi
bho_Deva	Bhojpuri
bhw_Latn	Biak
bim_Latn	Bimoba
bin_Latn	Bini
bis_Latn	Bislama
bjn_Arab	Banjar
bjn_Latn	Banjar
bod_Tibt	Tibetan
bos_Latn	Bosnian
bpy_Beng	Bishnupriya Manipuri
bqc_Latn	Boko
bre_Latn	Breton
bsb_Latn	Brunei Bisaya-Dusun
bts_Latn	Batak Simalungun
btx_Latn	Batak Karo
bug_Latn	Buginese
bul_Cyrl	Bulgarian
bul_Latn	Bulgarian
bum_Latn	Bulu
bxr_Cyrl	Russia Buriat
bzj_Latn	Belize Kriol English
cab_Latn	Garifuna
cac_Latn	Chuj
cak_Latn	Kaqchikel
caq_Latn	Car Nicobarese
cat_Latn	Catalan
cbk_Latn	Chavacano
cce_Latn	Chopi
ceb_Latn	Cebuano
ces_Latn	Czech
cfm_Latn	Falam Chin
cgg_Latn	Chiga
che_Cyrl	Chechen
chk_Latn	Chuukese
chv_Cyrl	Chuvash
chw_Latn	Chuwabu
cjk_Latn	Chokwe
ckb_Arab	Central Kurdish
ckb_Latn	Central Kurdish
cmn_Hani	Mandarin Chinese
cmn_Latn	Mandarin Chinese
cnh_Latn	Haka Chin
cos_Latn	Corsican
crh_Cyrl	Crimean Tatar
crh_Latn	Crimean Tatar
crs_Latn	Seselwa Creole French
csb_Latn	Kashubian
csy_Latn	Sizang Chin
ctd_Latn	Tedim Chin
ctu_Latn	Chol
cuk_Latn	San Blas Kuna
cym_Latn	Welsh
dan_Latn	Danish
deu_Latn	German
dhv_Latn	Dehu
dik_Latn	Southwestern Dinka
diq_Latn	Dimli
div_Thaa	Dhivehi
djk_Latn	Aukan
dln_Latn	Darlong
dtp_Latn	Kadazan Dusun
dua_Latn	Duala
dyu_Latn	Dyula
dzo_Tibt	Dzongkha
efi_Latn	Efik
ekk_Latn	Estonian
ell_Grek	Modern Greek
ell_Latn	Modern Greek
eml_Latn	Emiliano-Romagnolo
eng_Latn	English
enm_Latn	Middle English
epo_Latn	Esperanto
est_Latn	Estonian
eus_Latn	Basque
ewe_Latn	Ewe
ext_Latn	Extremaduran
fao_Latn	Faroese
fas_Arab	Persian
fat_Latn	Fante
fij_Latn	Fijian
fil_Latn	Filipino
fin_Latn	Finnish
fon_Latn	Fon
fra_Latn	French
frr_Latn	Northern Frisian
fry_Latn	Western Frisian
ful_Latn	Fula
fur_Latn	Friulian
fuv_Latn	Hausa States Fulfulde
gaa_Latn	Ga
gaz_Latn	West Central Oromo
gcf_Latn	Guadeloupe-Martinique Creole French
gcr_Latn	Guianese Creole French
gil_Latn	Gilbertese
giz_Latn	South Giziga
gkn_Latn	Gokana
gkp_Latn	Guinea Kpelle
gla_Latn	Scottish Gaelic
gle_Latn	Irish
glg_Latn	Galician
glk_Arab	Gilaki
glv_Latn	Manx
gom_Deva	Goan Konkani
gom_Latn	Goan Konkani
gor_Latn	Gorontalo
grc_Grek	Ancient Greek
grr_Latn	Sud Oranais-Gourara
gsw_Latn	Central Alemannic
guc_Latn	Wayuu
gug_Latn	Paraguayan Guaraní
guj_Deva	Gujarati
guj_Gujr	Gujarati
gur_Latn	Farefare
guw_Latn	Gun
gya_Latn	Northwest Gbaya
gym_Latn	Ngäbere
hat_Latn	Haitian
hau_Arab	Hausa
hau_Latn	Hausa
haw_Latn	Hawaiian
hbo_Hebr	Ancient Hebrew
hbs_Cyrl	Serbian-Croatian-Bosnian
hbs_Latn	Serbian-Croatian-Bosnian
heb_Hebr	Modern Hebrew
her_Latn	Herero
hif_Latn	Fiji Hindi
hil_Latn	Hiligaynon
hin_Deva	Hindi
hin_Latn	Hindi
hmo_Latn	Hiri Motu
hne_Deva	Chhattisgarhi
hnj_Latn	Hmong Njua
hra_Latn	Hrangkhol
hrv_Latn	Croatian
hrx_Latn	Hunsrik
hsb_Latn	Upper Sorbian
hui_Latn	Huli
hun_Latn	Hungarian
hus_Latn	Huastec
hye_Armn	Eastern Armenian
hye_Latn	Eastern Armenian
hyw_Armn	Western Armenian
hyw_Cyrl	Western Armenian
iba_Latn	Iban
ibg_Latn	Ibanag
ibo_Latn	Igbo
ido_Latn	Ido
idu_Latn	Idoma
ifa_Latn	Amganad Ifugao
ifb_Latn	Batad Ifugao
ige_Latn	Igede
ike_Cans	Eastern Canadian Inuktitut
ikk_Latn	Ika
ile_Latn	Interlingue
ilo_Latn	Iloko
ina_Latn	Interlingua
ind_Latn	Indonesian
ish_Latn	Esan
isl_Latn	Icelandic
iso_Latn	Isoko
ita_Latn	Italian
ium_Latn	Iu Mien
ixl_Latn	Ixil
izz_Latn	Izii
jam_Latn	Jamaican Creole English
jav_Latn	Javanese
jbo_Latn	Lojban
jpn_Jpan	Japanese
jpn_Latn	Japanese
kaa_Cyrl	Kara-Kalpak
kaa_Latn	Kara-Kalpak
kab_Latn	Kabyle
kac_Latn	Southern Jinghpaw
kal_Latn	Kalaallisut
kam_Latn	Kamba
kan_Knda	Kannada
kan_Latn	Kannada
kas_Arab	Kashmiri
kas_Deva	Kashmiri
kat_Geor	Georgian
kat_Latn	Georgian
kaz_Cyrl	Kazakh
kbd_Cyrl	Kabardian
kbp_Latn	Kabiyé
kea_Latn	Kabuverdianu
kek_Latn	Kekchí
khk_Cyrl	Halh Mongolian
khm_Khmr	Central Khmer
kia_Latn	Kim
kik_Latn	Kikuyu
kin_Latn	Kinyarwanda
kir_Cyrl	Kirghiz
kjb_Latn	Q'anjob'al
kjh_Cyrl	Khakas
kmb_Latn	Kimbundu
kmm_Latn	Kom
kmr_Cyrl	Northern Kurdish
kmr_Latn	Northern Kurdish
knc_Arab	Central Kanuri
knc_Latn	Central Kanuri
kng_Latn	South-Central Koongo
knv_Latn	Tabo
kom_Cyrl	Komi
koo_Latn	Konzo
kor_Hang	Korean
kor_Latn	Korean
kos_Latn	Kosraean
kpg_Latn	Kapingamarangi
kqn_Latn	Kaonde
krc_Cyrl	Karachay-Balkar
kri_Latn	Krio
ksd_Latn	Kuanua
ksh_Latn	Kölsch
kss_Latn	Southern Kisi
ksw_Mymr	S'gaw Karen
kua_Latn	Kuanyama
kwn_Latn	Kwangali
kwy_Latn	San Salvador Kongo
lam_Latn	Lamba
lao_Laoo	Lao
lat_Latn	Latin
lav_Latn	Latvian
ldi_Latn	Laari
leh_Latn	Lenje
lfn_Latn	Lingua Franca Nova
lhu_Latn	Lahu
lij_Latn	Ligurian
lim_Latn	Limburgan
lin_Latn	Kinshasa Lingala
lit_Latn	Lithuanian
llb_Latn	Lolo
lmo_Latn	Lombard
loz_Latn	Lozi
ltg_Latn	East Latvian
ltz_Latn	Moselle Franconian
lua_Latn	Luba-Lulua
lub_Latn	Luba-Katanga
lue_Latn	Luvale
lug_Latn	Ganda
lun_Latn	Lunda
luo_Latn	Luo
lus_Latn	Mizo
lvs_Latn	Latvian
lzh_Hani	Literary Chinese
mad_Latn	Madurese
mag_Deva	Magahi
mah_Latn	Marshallese
mai_Deva	Maithili
mal_Latn	Malayalam
mal_Mlym	Malayalam
mam_Latn	Mam
mar_Deva	Marathi
mau_Latn	Huautla Mazatec
mbb_Latn	Western Bukidnon Manobo
mck_Latn	Mbunda
mcn_Latn	Masana
mco_Latn	Coatlán Mixe
mdy_Ethi	Male
meu_Latn	Motu
mfe_Latn	Morisyen
mgh_Latn	Makhuwa-Meetto
mgr_Latn	Mambwe-Lungu
mhr_Cyrl	Eastern Mari
min_Arab	Minangkabau
min_Latn	Minangkabau
miq_Latn	Mískito
mkd_Cyrl	Macedonian
mlg_Latn	Malagasy
mlt_Latn	Maltese
mni_Beng	Manipuri
mny_Latn	Manyawa
mon_Cyrl	Mongolian
mon_Latn	Mongolian
mos_Latn	Mossi
mps_Latn	Dadibi
mri_Latn	Maori
mrw_Latn	Maranao
msa_Latn	Malay
mwl_Latn	Mirandese
mwm_Latn	Sar
mwn_Latn	Nyamwanga
mxv_Latn	Metlatónoc Mixtec
mya_Mymr	Burmese
myv_Cyrl	Erzya
mzh_Latn	Wichí Lhamtés Güisnay
mzn_Arab	Mazanderani
nan_Latn	Min Nan Chinese
nap_Latn	Continental Southern Italian
naq_Latn	Nama
nav_Latn	Navajo
nba_Latn	Nyemba
nbl_Latn	South Transvaal Ndebele
nch_Latn	Central Huasteca Nahuatl
ncj_Latn	Northern Puebla Nahuatl
ncx_Latn	Central Puebla Nahuatl
ndc_Latn	Ndau
nde_Latn	Zimbabwean Ndebele
ndo_Latn	Ndonga
nds_Latn	Eastern Low German
nep_Deva	Eastern Pahari
new_Deva	Kathmandu Valley Newari
ngl_Latn	Mozambique Lomwe
ngu_Latn	Central Guerrero Nahuatl
nia_Latn	Nias
niu_Latn	Niuean
nld_Latn	Dutch
nmf_Latn	East-Central Tangkhul Naga
nnb_Latn	Nande
nno_Latn	Norwegian Nynorsk
nob_Latn	Norwegian Bokmål
nor_Latn	Norwegian
npi_Deva	Nepali
nse_Latn	Nsenga
nso_Latn	Pedi
nus_Latn	Nuer
nya_Latn	Nyanja
nyk_Latn	Nyaneka
nyn_Latn	Nyankole
nyu_Latn	Nyungwe
nyy_Latn	Nyakyusa-Ngonde
nzi_Latn	Nzima
oci_Latn	Occitan
ogo_Latn	Khana
oke_Latn	Okpe
ori_Orya	Odia
ory_Orya	Odia
oss_Cyrl	Ossetian
ote_Latn	Mezquital Otomi
pag_Latn	Pangasinan
pam_Latn	Pampanga
pan_Guru	Eastern Panjabi
pap_Latn	Papiamento
pau_Latn	Palauan
pbt_Arab	Southern Pashto
pcd_Latn	Picard
pcm_Latn	Nigerian Pidgin
pdt_Latn	Plautdietsch
pes_Arab	Western Farsi
pfl_Latn	Pfaelzisch-Lothringisch
phm_Latn	Phimbi
pis_Latn	Pijin
pls_Latn	San Marcos Tlalcoyalco Popoloca
plt_Latn	Plateau Malagasy
pms_Latn	Piemontese
pnb_Arab	Western Panjabi
poh_Latn	Poqomchi'
pol_Latn	Polish
pon_Latn	Pohnpeian
por_Latn	Portuguese
prk_Latn	South Wa
prs_Arab	Dari
pus_Arab	Central Pashto
pxm_Latn	Quetzaltepec Mixe
qub_Latn	Huallaga Huánuco Quechua
quc_Latn	K'iche'
qug_Latn	Bolivar-North Chimborazo Highland Quichua
quh_Latn	South Bolivian Quechua
quw_Latn	Tena Lowland Quichua
quy_Latn	Ayacucho Quechua
quz_Latn	Cusco Quechua
qvi_Latn	Imbabura Highland Quichua
rap_Latn	Rapanui
rar_Latn	Southern Cook Island Maori
rmn_Cyrl	Balkan Romani
rmn_Grek	Balkan Romani
rmn_Latn	Balkan Romani
rmy_Cyrl	Vlax Romani
rmy_Latn	Vlax Romani
rng_Latn	Ronga
roh_Latn	Romansh
ron_Latn	Romanian
rop_Latn	Kriol
rue_Cyrl	Rusyn
rug_Latn	Roviana
run_Latn	Rundi
rus_Cyrl	Russian
rus_Latn	Russian
sag_Latn	Sango
sah_Cyrl	Sakha
san_Deva	Sanskrit
san_Latn	Sanskrit
sat_Olck	Santali
sba_Latn	Ngambay
scn_Latn	Sicilian
sco_Latn	Scots
seh_Latn	Sena
sgs_Latn	Samogitian
shn_Mymr	Shan
sid_Latn	Sidamo
sin_Sinh	Sinhala
skg_Latn	West Malagasy Sakalava
slk_Latn	Slovak
slv_Latn	Slovenian
sme_Latn	North Saami
smo_Latn	Samoan
sna_Latn	Shona
snd_Arab	Sindhi
som_Arab	Somali
som_Latn	Somali
sop_Latn	Songe
sot_Latn	Southern Sotho
spa_Latn	Spanish
sqi_Latn	Albanian
srm_Latn	Saramaccan
srn_Latn	Sranan Tongo
sro_Latn	Campidanese Sardinian
srp_Cyrl	Serbian
srp_Latn	Serbian
ssw_Latn	Swati
sun_Latn	Sundanese
suz_Deva	Sunwar
swc_Latn	Congo Swahili
swe_Latn	Swedish
swa_Latn	Swahili
swh_Latn	Swahili
sxn_Latn	Sangir
szl_Latn	Silesian
tah_Latn	Tahitian
tam_Latn	Tamil
tam_Taml	Tamil
taq_Latn	Tamasheq
taq_Tfng	Tamasheq
tat_Cyrl	Tatar
tat_Latn	Tatar
tbz_Latn	Ditammari
tca_Latn	Ticuna
tcf_Latn	Malinaltepec Me'phaa
tdt_Latn	Tetun Dili
tdx_Latn	Tandroy Malagasy
tel_Latn	Telugu
tel_Telu	Telugu
teo_Latn	Teso
tgk_Arab	Tajik
tgk_Cyrl	Tajik
tgk_Latn	Tajik
tgl_Latn	Tagalog
tha_Thai	Thai
tih_Latn	Timugon Murut
tir_Ethi	Tigrinya
tiv_Latn	Tiv
tlh_Latn	Klingon
tll_Latn	Tetela
tls_Latn	Tambotalo
tob_Latn	Toba
tog_Latn	Tonga
toh_Latn	Gitonga
toi_Latn	Tonga
toj_Latn	Tojolabal
tok_Latn	Toki Pona
ton_Latn	Tonga
top_Latn	Papantla Totonac
tpi_Latn	Tok Pisin
tpm_Latn	Tampulma
tsc_Latn	Tswa
tsn_Latn	Tswana
tso_Latn	Tsonga
tsz_Latn	Purepecha
ttj_Latn	Tooro
tuc_Latn	Mutu
tui_Latn	Tupuri
tuk_Cyrl	Turkmen
tuk_Latn	Turkmen
tum_Latn	Tumbuka
tur_Latn	Turkish
tvl_Latn	Tuvalu
twi_Latn	Twi
twx_Latn	Tewe
tyv_Cyrl	Tuvinian
tzh_Latn	Tzeltal
tzm_Tfng	Central Moroccan Berber
tzo_Latn	Tzotzil
udm_Cyrl	Udmurt
uig_Arab	Uighur
uig_Latn	Uighur
ukr_Cyrl	Ukrainian
umb_Latn	Umbundu
urd_Arab	Urdu
urd_Latn	Urdu
urh_Latn	Urhobo
uzb_Cyrl	Uzbek
uzb_Latn	Uzbek
uzn_Cyrl	Northern Uzbek
uzn_Latn	Northern Uzbek
vec_Latn	Venetian
ven_Latn	Venda
vep_Latn	Veps
vie_Latn	Vietnamese
vls_Latn	Western Flemish
vmw_Latn	Makhuwa
vol_Latn	Volapük
vot_Latn	Votic
wal_Latn	Wolaytta
war_Latn	Waray
wbm_Latn	Zhenkang Wa
wes_Latn	Cameroon Pidgin
wln_Latn	Walloon
wls_Latn	East Uvean
wol_Latn	Wolof
wuu_Hani	Wu Chinese
xal_Cyrl	Kalmy
xav_Latn	Xavánte
xho_Latn	Xhosa
xmf_Geor	Mingrelian
xmv_Latn	Antankarana Malagasy
yan_Latn	Mayangna
yao_Latn	Yao
yap_Latn	Yapese
ydd_Hebr	Eastern Yiddish
yom_Latn	Yombe
yor_Latn	Yoruba
yua_Latn	Yucatec Maya
yue_Hani	Yue Chinese
zai_Latn	Isthmus Zapotec
zea_Latn	Zeeuws
zho_Hani	Chinese
zlm_Latn	Central Malay
zne_Latn	Zande
zom_Latn	Zou
zpa_Latn	Lachiguiri Zapotec
zsm_Latn	Malay
zul_Latn	Zulu
hmn_Latn	Hmong
orm_Latn	Oromo
que_Latn	Quechua
kon_Latn	Kongo
iku_Cans	Inuktitut
kur_Latn	Kurdish
kur_Arab	Kurdish
ber_Latn	Berber
yid_Hebr	Yiddish
srd_Latn	Sardinian
grn_Latn	Guarani
bik_Latn	Bikol
bih_Deva	Bihari
