	afr_Latn	amh_Ethi	arb_Arab	asm_Beng	bak_Cyrl	bel_Cyrl	ben_Beng	bul_Cyrl	cat_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fin_Latn	fra_Latn	gle_Latn	guj_Gujr	heb_Hebr	hin_Deva	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	isl_Latn	ita_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lat_Latn	lav_Latn	lit_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mlt_Latn	mya_Mymr	nep_Deva	nld_Latn	nno_Latn	nor_Latn	ory_Orya	pan_Guru	pes_Arab	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	san_Deva	sin_Sinh	slk_Latn	slv_Latn	snd_Arab	spa_Latn	sqi_Latn	srp_Cyrl	swe_Latn	swh_Latn	tam_Taml	tat_Cyrl	tel_Telu	tgk_Cyrl	tgl_Latn	tha_Thai	tur_Latn	uig_Arab	ukr_Cyrl	urd_Arab	vie_Latn	zsm_Latn
afr_Latn		0.9227484256399994	0.8182943970799997	0.92302126896	0.90375003258	0.9491337481599996	0.9377662772400004	0.946646396180001	0.95404483468	0.9518200571000001	0.8926863057600002	0.9084401643800003	0.9387159179	0.9579160369600005	0.9550094745600003	0.9291326845000001	0.9375763833999996	0.9554978317400008	0.9312557041599996	0.9497631191600004	0.9506981825799995	0.9373956672200003	0.9394651925799995	0.8703500132799994	0.94095646188	0.9519378943799999	0.9478102314799994	0.9364789923200003	0.9515196706399992	0.9493205226600004	0.9533181963599996	0.9339735934399995	0.9329779549399991	0.9399124676199994	0.9416414962799999	0.8993210332999998	0.9425539696200002	0.9370270910400006	0.90681134824	0.9447877351399989	0.9519392488199998	0.9491915822399996	0.9286786835000002	0.94126982592	0.95081076394	0.9127440493599994	0.8847968656000007	0.93714380926	0.9626554182400004	0.9578467645800003	0.9568303685199999	0.9312582060799993	0.93625004904	0.9456139801400005	0.95129732604	0.9517943712000005	0.9484555778200001	0.9454034611799991	0.9162525664999998	0.9314928103200003	0.9506568145199994	0.949337547999999	0.9434081566199997	0.9503650020800001	0.9473943910400009	0.9518103062800011	0.9558385815200003	0.9448292031000002	0.9312615846399995	0.9230476429000001	0.9315633670400005	0.9274513516400006	0.9460755979799992	0.9251383857400008	0.9384365297599997	0.9339978749799998	0.9481893251600001	0.9315421809200001	0.9419112578599994	0.952637113299999
amh_Ethi	0.9227484256399994		0.8255758990400005	0.9340559535400005	0.8996175695800005	0.9277819680400002	0.9416052234399991	0.9198548543999996	0.9224574241400001	0.9250121320800003	0.8965736859200003	0.8937901098599991	0.9169937751799997	0.920284864579999	0.9182906441000006	0.9151206531600002	0.9077401294399999	0.9247333970600001	0.9151223275600001	0.92484248592	0.9139586225599997	0.9227098116399998	0.9440207037000006	0.8779394671200007	0.9335848610599999	0.9265589770800001	0.9258973979399999	0.9359662712999998	0.9224362767200004	0.9276839334999999	0.9203603806599999	0.9303552576199995	0.9430335740400008	0.9369510452400004	0.9373489402999999	0.9070128706800007	0.9377380776400002	0.934141967519999	0.9105860672999987	0.9238768240799999	0.9294839137599993	0.9291334649399998	0.9440598156	0.9402488753	0.9257084366600004	0.8924723659000001	0.9053280925999998	0.9397406911800004	0.9214598728399999	0.9198925192199998	0.9219047385399995	0.9421031304800002	0.9383296925199998	0.9359273012999998	0.9234018016399994	0.9183387699000002	0.9185690553200004	0.9199535172999996	0.9296973595999997	0.9443314973599993	0.9236892272000008	0.9218376207400004	0.9415607824999997	0.9181116222399992	0.92362149666	0.9282256113999997	0.9209081456999996	0.9259811234399999	0.9401034229999997	0.9160667362799997	0.9437060934400003	0.9162881063800004	0.9285461991399993	0.9133942338599998	0.9273310420600003	0.9394210079599994	0.9242510540799999	0.92782888512	0.9179966863600009	0.92269390352
arb_Arab	0.8182943970799997	0.8255758990400005		0.8410512463000008	0.8443237122600002	0.8238527327399998	0.8286268029600004	0.8108710774400001	0.8193601359999997	0.8210088533599983	0.8536108432800005	0.8225169314799996	0.8361605245800003	0.8104968812200004	0.8088458254400003	0.8294885936999995	0.8001374402799996	0.81449609622	0.8143267520600002	0.8123240625600004	0.82122671556	0.8318214498400011	0.8181413823400012	0.87206095578	0.8109860672999991	0.8142107635999998	0.81863839806	0.8351589117000008	0.8127868332399998	0.8089569393199997	0.8176765928400002	0.8203626015000004	0.8207999203200002	0.8305380775400002	0.8200348021999984	0.8342352719400011	0.8203715277600003	0.8125833170399999	0.8133238675399997	0.8094260465199995	0.8183635157600007	0.81515870652	0.8159808147599997	0.8098426899800003	0.8129245445000003	0.8588858326400001	0.8307819316399999	0.8279417022	0.8135944807000002	0.8132193120000003	0.8004236999399993	0.8223772453600007	0.8169345992400003	0.81995315592	0.8214547134199995	0.8103113685399997	0.8260260826399997	0.8101051362799997	0.8357189624	0.8203896734399997	0.8215154447799997	0.8167462321600003	0.8318236086200006	0.8082909904	0.8248488630799999	0.8131710059799998	0.8055114524600001	0.8221890819200002	0.8214666549200001	0.8389784983200008	0.8213119727399997	0.8549948963200006	0.8300746376800001	0.8250840054399999	0.8013683395800008	0.8318297282000005	0.8214186570400008	0.8371237202	0.8160298024600002	0.8106219568599994
asm_Beng	0.92302126896	0.9340559535400005	0.8410512463000008		0.9302439828	0.9270666927999995	0.9608019472999993	0.9113929713600006	0.9201568071799999	0.9194293238399994	0.9175219618600003	0.8997299805199999	0.9268365372800006	0.9186398789399992	0.9116504351800007	0.91734591592	0.8963968544	0.9224992787399996	0.9197039839599999	0.9187375141600002	0.9115367162400008	0.92909286662	0.9518159812199993	0.8951576797199994	0.9370087492800008	0.9179810618399998	0.9231549774400004	0.9453308185800001	0.9174841511199995	0.9228776253200007	0.9143438620800004	0.9302180051000004	0.9519841184600004	0.9343460589400004	0.9423442718799993	0.9196316319600006	0.9403521789800003	0.9334420942200014	0.9179089582000005	0.9097432730400004	0.9270902231599992	0.9233622574799992	0.9458431273000001	0.9436880770200005	0.9177839591400003	0.9123061717600003	0.9278187824400008	0.9553172831199997	0.9162551224200001	0.9199818080600002	0.9117941338800003	0.9548141920599997	0.9462116931600004	0.9281514184999999	0.9176691424399998	0.9105035736799997	0.9154493829999992	0.9108112124400007	0.9469386027800002	0.9502493463799999	0.9173551443999989	0.9184658226400004	0.9506023713999999	0.90769081084	0.9235036629800008	0.9185207820399991	0.9139802276600003	0.9194743991999997	0.9472910950000003	0.94142583624	0.9501899834199995	0.9381441172200008	0.9300676094400003	0.9208138695600004	0.9184213418199995	0.9491717508400002	0.92141514266	0.9354602555199999	0.9181854397600002	0.9167249288600006
bak_Cyrl	0.90375003258	0.8996175695800005	0.8443237122600002	0.9302439828		0.9109452509599989	0.9188424583600001	0.8908652960800001	0.8997395104	0.9027748780599993	0.9248521353600001	0.8782618895999998	0.9177374791200001	0.8972518345199988	0.8922731054999995	0.8991985155600001	0.8681377128400005	0.9046041675799994	0.9104735004600004	0.9000307671400005	0.8934468131000013	0.9192424606200009	0.9097046982800004	0.8821563803400001	0.897535215700001	0.8965815354999997	0.9100535446199999	0.9285252978799993	0.8926399152799994	0.9049700616200006	0.8933497603000005	0.8987883830999999	0.9154757354799993	0.9100251798199995	0.9353616012000001	0.8871933479	0.9337579696200005	0.900735697720001	0.8916220953599995	0.8900840568400001	0.9076197857999997	0.9050285205999986	0.9056309200799993	0.9058556484200003	0.8964590377999997	0.9176202997800009	0.9017976764399994	0.9205853781799999	0.8961468884599996	0.9037065593599992	0.88796162696	0.9173102318799998	0.9070640014799998	0.8963943977800004	0.9002113305399996	0.8891547477599998	0.8985588595800009	0.8909544484800005	0.9152316008799999	0.9128452647800004	0.8995038998799997	0.8996593751999997	0.9164684256199997	0.8855960011400005	0.9065381290999991	0.8966281550600004	0.8903021162599993	0.8990180980400004	0.9137679450199999	0.9689612881599992	0.9131580944400006	0.9432464333399999	0.9090719255000007	0.8908182302600012	0.9015547986800002	0.9358183816400004	0.9022977541000006	0.9011767343799997	0.8927031004000013	0.8918348223199994
bel_Cyrl	0.9491337481599996	0.9277819680400002	0.8238527327399998	0.9270666927999995	0.9109452509599989		0.942793479259999	0.9584750849599993	0.95699981062	0.9638313588199999	0.8890662650200004	0.9116228071399994	0.9396203679599997	0.9558650763600007	0.9529071993400005	0.9389897144799997	0.9307057106200006	0.9606289319399992	0.9311555482999996	0.9548405489999994	0.9521518490400006	0.9396585482799998	0.9426447648200006	0.8779257963199992	0.9453066870799998	0.960954589340001	0.9542008524000005	0.9461417128200001	0.9487706638000006	0.9528964533999992	0.95662740766	0.9373374891200005	0.9378278374000006	0.953290147220001	0.9496552998999999	0.9017891826199999	0.9513255571600007	0.9384523688000003	0.9092047410200003	0.9501133661599998	0.9634872192600001	0.9628753058599998	0.9335072914000011	0.9462124482999997	0.9616696275799995	0.9126090440799992	0.8865538058399992	0.9414510701399998	0.9530912819599999	0.9528136261800001	0.9550646920200008	0.9355010278599993	0.9393025554399997	0.94797771366	0.9646669688800003	0.9526453943599997	0.9522391681800002	0.9629388324600009	0.9223490571399989	0.9369892153599994	0.9621122683799992	0.9574463857000002	0.9428356952199999	0.9522443744600008	0.9531935593399989	0.9649763436200004	0.9526503574599993	0.9475446509999993	0.9366337333799998	0.9299470347400001	0.9371636051400006	0.9325921810000011	0.9444100005599998	0.9283392285599993	0.9418991751999992	0.9361941544400003	0.9695885619600002	0.93268979044	0.9450066706200003	0.9482565717599997
ben_Beng	0.9377662772400004	0.9416052234399991	0.8286268029600004	0.9608019472999993	0.9188424583600001	0.942793479259999		0.9366362397399994	0.9384135292399999	0.9389156978399995	0.9020691362600002	0.9137979567599993	0.9295082026599993	0.93772995082	0.9353707827399994	0.9275675397799995	0.9234800030399996	0.938449113599999	0.9263132568199999	0.93942266366	0.9351389006199992	0.93349217572	0.9625282554199989	0.8867348772599999	0.9580905232999999	0.9373175808600004	0.9415777349600001	0.9486619215399994	0.9416784071599988	0.9362621026599994	0.9360440802599987	0.94785155994	0.9600467246600001	0.9466898703799995	0.9542731448000008	0.9202337082	0.9522914367399996	0.95038683968	0.9224007618000001	0.9267418941199997	0.9417348860000003	0.9403947007400003	0.9554468656799999	0.9591111015000002	0.9396730192999991	0.9019293199599998	0.9165562114400003	0.96294578726	0.9367518980799997	0.9355150583000007	0.9356402490399996	0.9614713299599995	0.9597297936000001	0.9506532525000004	0.9391699852799998	0.9359036894999996	0.9341529468999998	0.9381642298799997	0.9437701051999994	0.9587343511399993	0.9373823381599993	0.9340826982599995	0.9577942943199999	0.9344739385600006	0.9388316554199999	0.9409599159000004	0.9362341441999998	0.9386928690599998	0.9563690391799999	0.9366615654400005	0.9582564726999999	0.9325451844400018	0.9413068611399998	0.9354248215199997	0.9419595041800002	0.9534538096200009	0.9410263264600001	0.9500418705399999	0.9419047633199998	0.94130092318
bul_Cyrl	0.946646396180001	0.9198548543999996	0.8108710774400001	0.9113929713600006	0.8908652960800001	0.9584750849599993	0.9366362397399994		0.9564028715599988	0.9580525163600008	0.8704779956800001	0.9106067293200001	0.9269887206000003	0.95582159524	0.9548902679000004	0.9333022101400006	0.9414056471199994	0.9547469006000003	0.9163023060600002	0.9525109825000008	0.9577303498600005	0.9257363189400003	0.9379005039599996	0.8639148854199994	0.9488094778400005	0.9569479981199993	0.9526000793599999	0.9331597285799997	0.9540131184000008	0.9431121914399996	0.9590005511399997	0.9389754069599999	0.9321689956800003	0.9448013582199998	0.9421687132399992	0.8929721712000009	0.942693795639999	0.9395317966800006	0.9023786421199994	0.9420078282399988	0.9547168638399998	0.9540954933799997	0.9282307115799998	0.9419027777399992	0.9688207129200002	0.8949492224400001	0.8708086839599998	0.9340066042199997	0.9543391691599997	0.9486070850599997	0.9593412382399997	0.9266576352199994	0.9367777516400012	0.9525956381400004	0.9603439421200002	0.9591394492000004	0.9577803154400003	0.9627908596599999	0.9066922287999999	0.9304465031199995	0.9577332192399985	0.9505129348800002	0.9353804794999989	0.9597895697399991	0.9518779401599993	0.9659087253800002	0.9579176340399999	0.9492850239199996	0.9315928361199997	0.9140549497800008	0.9302189909599996	0.9176403927999995	0.9412907812000005	0.9268748154399996	0.9447369029599999	0.9281723341800004	0.9600897907000002	0.9336463362600015	0.9490373167599998	0.9531530578399998
cat_Latn	0.95404483468	0.9224574241400001	0.8193601359999997	0.9201568071799999	0.8997395104	0.95699981062	0.9384135292399999	0.9564028715599988		0.95891896996	0.8834223357799997	0.9087572213400004	0.9405127930799997	0.9596394730000007	0.9550409862399997	0.9389439465600005	0.9387645613599994	0.9610588527800008	0.9335809067999998	0.95332656604	0.9649923290399999	0.93929508302	0.9398920641200003	0.8738240424400007	0.9450284249800006	0.9586435763399999	0.9540802856599998	0.9382146394599997	0.9537484469400006	0.95108999614	0.96709521048	0.9358943322799996	0.9327830726999999	0.9436538037600002	0.9431396391799998	0.8983728524800003	0.9444718984799999	0.93714562824	0.90595196976	0.9518010214800008	0.9567801517000001	0.9559907599199999	0.9294765416399995	0.9415590664799999	0.9592221565999999	0.9136759159599999	0.8780953534200001	0.93668204558	0.9586987614399995	0.9558994761199999	0.959547237380001	0.9301481536799999	0.9373332667399997	0.9505679878999997	0.9592447423999998	0.9656038017600005	0.9591800680200009	0.9550245769800007	0.91360875428	0.9326646826799995	0.9581297849599997	0.9546315015400003	0.9393127042399996	0.9663212166600001	0.9556550185399998	0.9602086145600002	0.9594916954799998	0.9503558889399996	0.9329679197999999	0.9212993581600004	0.9327665196600002	0.9247880686199996	0.9480549827799991	0.9267387743999997	0.9439345507599995	0.9306377739199991	0.9564425845000001	0.9316695263400003	0.9478231745400006	0.9536281271800011
ces_Latn	0.9518200571000001	0.9250121320800003	0.8210088533599983	0.9194293238399994	0.9027748780599993	0.9638313588199999	0.9389156978399995	0.9580525163600008	0.95891896996		0.8850580442199998	0.9088495369200001	0.9365578897000002	0.9578077926400005	0.9564514397399995	0.9365911430199989	0.9347604122600002	0.9586273849799988	0.9288471265200002	0.9566336625799999	0.9547723925599998	0.9366137424200001	0.9402274775600001	0.8718897916399995	0.9443861061999996	0.9650365731400001	0.9559324180799998	0.9385251002999994	0.9516775603000004	0.9516232684999998	0.958653753019999	0.9368052371799999	0.9332896163600002	0.9488085032200014	0.9443279304	0.8955509991200001	0.9455094622800003	0.9397547645799993	0.9043664955200004	0.95185406594	0.9620344772000003	0.9610974998599996	0.9310173359799986	0.9431161684000011	0.9600500991	0.9075374427599998	0.8795515310999993	0.9364261516599993	0.9573774561200006	0.95447734324	0.9588713793599999	0.9311100941599999	0.9366872629800008	0.9491785974399995	0.9673632611999999	0.9567088795799993	0.9557289521199999	0.9585060819800002	0.9157903929199998	0.9338604098800004	0.9703932265599999	0.9614126943600001	0.9391876207400002	0.9556704134399995	0.9526842722400009	0.9649148849400004	0.9564785534799999	0.9479933436400005	0.9343576776800004	0.9234209208600003	0.9338306470200002	0.9259171022199998	0.9444051534599995	0.9259165193800006	0.9448136318999992	0.9324053081599999	0.9621102371399992	0.93151997376	0.9453162131400001	0.9515461421000001
