	afr_Latn	arb_Arab	bak_Cyrl	bel_Cyrl	ben_Beng	bul_Cyrl	chv_Cyrl	cmn_Hani	dan_Latn	deu_Latn	ell_Grek	eng_Latn	eus_Latn	fin_Latn	fra_Latn	heb_Hebr	hin_Deva	hun_Latn	hye_Armn	ind_Latn	ita_Latn	jpn_Jpan	kat_Geor	kaz_Cyrl	kir_Cyrl	kor_Hang	lav_Latn	lit_Latn	mal_Mlym	mar_Deva	mya_Mymr	nld_Latn	oss_Cyrl	pes_Arab	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	sah_Cyrl	spa_Latn	swe_Latn	swh_Latn	tam_Taml	tat_Cyrl	tel_Telu	tgk_Cyrl	tgl_Latn	tha_Thai	tuk_Latn	tur_Latn	tyv_Cyrl	ukr_Cyrl	urd_Arab	vie_Latn	yor_Latn	zsm_Latn
afr_Latn		0.9405782941199997	0.9393599378599989	0.9472300125399992	0.9507441289399995	0.9489143977399999	0.9272444899799999	0.9481357031000001	0.9617865187400007	0.9627561770600007	0.9469123544599999	0.9617743288800006	0.9486119534799998	0.9560937962000003	0.95855499182	0.9343066289000004	0.9524684406599997	0.9552293859000006	0.9526737025399995	0.95489168408	0.9576634746200001	0.9489515791999998	0.9479506231199998	0.9434694207800012	0.9420066705000004	0.9495719696600005	0.9497939306999997	0.9555995551600002	0.9507456789600001	0.9496824798000008	0.9469753108600008	0.9742563478200005	0.92440711442	0.9474621851999999	0.9556819750800004	0.9578681669200002	0.9541747156999999	0.9503479794199997	0.9284462377799998	0.9576334806200004	0.9593577465199993	0.9550009113999995	0.9531127360999999	0.9430286782600004	0.9509299991799997	0.9460952152200008	0.9459593354199999	0.9494202934000007	0.93948493322	0.9571430604200001	0.9265814297400011	0.9485524575600001	0.9478011753799999	0.95338134698	0.9370358351599999	0.9544076742800008
arb_Arab	0.9405782941199997		0.9573687833600001	0.9608587321200004	0.9714604632999991	0.9610181205200001	0.9452670439799997	0.9595475129000005	0.9552159276599997	0.9562790795800005	0.9650006662599993	0.9596201099600006	0.9477107275799987	0.9507788831600004	0.9594237187400009	0.9664394088199993	0.97092280956	0.9554754431600017	0.9693063274600007	0.9590959135000005	0.9590149186400008	0.9600214985800006	0.9650404762799999	0.95786935748	0.9564501944199995	0.9633797213999999	0.9504989538999996	0.9541175450399993	0.9679040731599999	0.96304181182	0.9686313110800001	0.9540974209600013	0.9441533022000006	0.9747320146799999	0.9569210538399999	0.9587912554199999	0.9554128928799995	0.964662104539999	0.9426513354600009	0.9591672049400011	0.9556260675599999	0.9545851431599994	0.9703389440600009	0.9605430188999999	0.9669086653799995	0.9590745868199991	0.9452921595199995	0.9654022187199995	0.9369849781799997	0.9618544261	0.9412283907600006	0.9638573975400005	0.9753145325999998	0.9608781769400002	0.9348083324999995	0.9588974721200003
bak_Cyrl	0.9393599378599989	0.9573687833600001		0.9697748917799998	0.96697733906	0.9687880065799995	0.9711013123799996	0.9581147989600005	0.9552933701999999	0.95698431244	0.9629686011400002	0.9591284787800008	0.9502695575800005	0.9550325780999995	0.9580715753999997	0.9560112823400002	0.9667194783600002	0.9575785187000002	0.9724556101799994	0.954846904720001	0.9581154326000008	0.9604675716400009	0.9659095834800009	0.9813550237800001	0.9763666364000004	0.9631087142199996	0.9518134216999997	0.9560235825400005	0.9668351309999997	0.964167037100001	0.9594291660000008	0.9546073706199993	0.9662531955399997	0.9597617913800001	0.9573862031999998	0.9575238536000001	0.9585167434200007	0.9724500366600004	0.9682439187199996	0.9571038944600002	0.957161410600001	0.9542849119199994	0.9665993418400005	0.9893697221400016	0.9660331850200002	0.9699977093799991	0.94320171574	0.9640353878199994	0.94696319736	0.9649882216799999	0.9636605569600002	0.9704884599599998	0.9605187096999999	0.9575618711400002	0.9376406313599998	0.9542925186399991
bel_Cyrl	0.9472300125399992	0.9608587321200004	0.9697748917799998		0.9716543217200002	0.9752091921400003	0.9603014097800001	0.9639268020399998	0.9623617026199995	0.9642302683599998	0.9672026731399997	0.9659585505199997	0.9550426928799999	0.9597903908000003	0.9660351703199997	0.95624324088	0.9711646459599992	0.9638657778200002	0.9736333913200012	0.9604536988399986	0.9653542051000007	0.9645800504599997	0.9694544995400001	0.9725108519400003	0.9713890501999999	0.96749685304	0.9616483928399988	0.9611136711399999	0.969049142119999	0.9665051304599996	0.9622369349999997	0.9615727596399998	0.9610891357999997	0.9632698672200002	0.9660769872799991	0.9643696519399994	0.9638804537400003	0.9807944674999999	0.95900569388	0.9646657308800005	0.9638516896799996	0.9594471655400014	0.970016756580001	0.9732543993999994	0.9690413128799997	0.9705722302600003	0.9493966961200002	0.9684898616000004	0.9448688952800004	0.96679235868	0.9576905050600003	0.98234535324	0.963227280859999	0.9643356567600003	0.9397865184999993	0.9598317171599992
ben_Beng	0.9507441289399995	0.9714604632999991	0.96697733906	0.9716543217200002		0.9727229442399998	0.9552103889599997	0.9708788617200009	0.9655694026800001	0.9687638230199995	0.9729684281400004	0.971980289439999	0.9598457147399999	0.9646592816200003	0.9710742969799996	0.9674650148799994	0.9857194593400004	0.9698837777599988	0.9818963046999993	0.9695492141399995	0.9701653416199993	0.9734639624799992	0.9764724634400005	0.9691344371999999	0.96889445594	0.9765530976999995	0.9622234098600005	0.9656339652800002	0.9845567383600002	0.9794636405200003	0.97907544864	0.9654455905000002	0.9536909464999995	0.9734631431999998	0.9705409154199998	0.9686154411800005	0.9668931893599995	0.9765983187400005	0.9546951924200011	0.9695824953200002	0.9670174262399999	0.9663442879	0.9852089180399997	0.9713339059399999	0.9848184653399996	0.9685798236200002	0.9577959011400008	0.9788630589199999	0.9487925065399987	0.9742261695000001	0.9538672799599999	0.9754937291399998	0.9742101323599998	0.9689615521599999	0.94505974986	0.9693854478200006
bul_Cyrl	0.9489143977399999	0.9610181205200001	0.9687880065799995	0.9752091921400003	0.9727229442399998		0.9592875141599995	0.9651357666399999	0.9641778890600002	0.967194541179999	0.9689821883800002	0.9691515405599999	0.9536618816399998	0.9624816378000008	0.967142084400001	0.95834367902	0.97205419596	0.9642044239399993	0.97220913734	0.9632004000800002	0.9694541588800001	0.9678511888200007	0.9729424452800002	0.9706923495399998	0.97111710304	0.9697385083999995	0.9593878438999998	0.9631185144599993	0.9707606364999999	0.97083127974	0.9636461395399998	0.9629214643000001	0.9582352922600005	0.9697566758999996	0.9708057365599998	0.9674513963200002	0.9675385873799996	0.9841705830799997	0.9572806631000004	0.9671111996400014	0.9653907163000003	0.9603214837400004	0.9725421556800002	0.9727096975800005	0.97049560036	0.9731985305000002	0.9482636916400015	0.9698229347199998	0.9420056437399997	0.968185880300001	0.9563797465199996	0.98108290474	0.9660812253800006	0.966718001319999	0.9356361393600006	0.9627177645600001
chv_Cyrl	0.9272444899799999	0.9452670439799997	0.9711013123799996	0.9603014097800001	0.9552103889599997	0.9592875141599995		0.9450898950399997	0.9421309252600003	0.9446595222800004	0.95205694368	0.9461706331999999	0.9426690477199996	0.9446682965799997	0.9459374049799989	0.9489328970200009	0.9539396475199993	0.9446998171599998	0.9624849574200008	0.9422873869800008	0.9463901079599994	0.9467110531400001	0.9533302905999994	0.9625530040400007	0.9621512731599998	0.9495616286799998	0.9432054237400003	0.9446849176799996	0.9545484772999997	0.9529234829199996	0.9459532011000013	0.9432576879200003	0.9823250565600002	0.9468785713999994	0.94524376092	0.9455844479000004	0.9504366093600005	0.9623989786600002	0.9688523755599997	0.94526625182	0.9440858507800004	0.9426302342600006	0.9527379898400007	0.9715585369399993	0.9532989049200007	0.964624670540001	0.9354349973799998	0.94973118804	0.9395118678399997	0.95131542554	0.9633871176199991	0.9621386700999999	0.9464111351000003	0.9465122125400006	0.9361077683999992	0.9415015407600006
cmn_Hani	0.9481357031000001	0.9595475129000005	0.9581147989600005	0.9639268020399998	0.9708788617200009	0.9651357666399999	0.9450898950399997		0.9613881291999993	0.9650967723399998	0.9663993897999986	0.9691824496200001	0.9539284519400006	0.960079822159999	0.9659019185999995	0.9552905442199994	0.9730005381600006	0.9633193934199996	0.9725289148600003	0.9616273991400006	0.9667390222599997	0.979054893960001	0.9676107564800006	0.9609594646199999	0.9593467622399994	0.9745015678000003	0.9563260551999998	0.9607523050400004	0.9711531710199999	0.9669947737199992	0.9676389222999998	0.9624567759399995	0.9433528621199989	0.9668552387200005	0.9639746696000003	0.9649710161999998	0.9621293145599995	0.9693823396999993	0.9445024134800002	0.9652926462399998	0.9636177582799993	0.9601654508199996	0.9711362801800009	0.961693879700001	0.9720288887199996	0.9585755356600002	0.9505345528000003	0.972811193720001	0.9409265509799996	0.9684199825599992	0.9427186593200001	0.9664489312600008	0.9672749535999999	0.9690248910999997	0.9404030670400001	0.9612547177799996
dan_Latn	0.9617865187400007	0.9552159276599997	0.9552933701999999	0.9623617026199995	0.9655694026800001	0.9641778890600002	0.9421309252600003	0.9613881291999993		0.9766615665600006	0.9618324135200005	0.9752787358800006	0.9635801673799997	0.9682118283599999	0.9732590908399991	0.9485347823000003	0.96709261044	0.9700706502999993	0.9665116954200001	0.9670538636999991	0.9732609454800004	0.9613249191600005	0.9624672282199997	0.9574269309799998	0.9574432289399993	0.9637285192999997	0.96497943172	0.9677403287400003	0.963869023	0.9632020589000004	0.9606701612000005	0.9739765337599999	0.9405720302999988	0.9644756091800001	0.96933096346	0.9719337887200002	0.9691307262599999	0.9663788168000006	0.9416040531400001	0.9723287235800001	0.9827209946399997	0.9647827041	0.9653211888400001	0.9582424394800015	0.9653410772599996	0.9568252433400014	0.9579865554400004	0.9644953767000006	0.9486451602200002	0.9721858258200008	0.9402104898600003	0.9640248773800012	0.9603460731799994	0.9668876852199997	0.9456290361599997	0.9662796932999994
deu_Latn	0.9627561770600007	0.9562790795800005	0.95698431244	0.9642302683599998	0.9687638230199995	0.967194541179999	0.9446595222800004	0.9650967723399998	0.9766615665600006		0.965963521359999	0.9785660232799995	0.9663507386399995	0.9697782285600006	0.9765412176199996	0.9522171170200011	0.9704236125799998	0.9724471316599995	0.9695314129599997	0.9697455081200002	0.9765296270000001	0.9657631015200002	0.9669809546400006	0.9598986924599996	0.9597036674999998	0.9686022427600002	0.9657608209199999	0.9685201305199995	0.9671209452000006	0.9649939027600004	0.9628289644800004	0.9783419056200001	0.9418562966999999	0.9657158990600002	0.9728775022199994	0.9746704602999996	0.97140241854	0.9711754661599997	0.9438857651400003	0.9754032601399988	0.9771301247999994	0.9677790638199999	0.9680280068799996	0.96059076086	0.9689758535999994	0.9590394400399999	0.9564053786000007	0.96674119388	0.9520561832199995	0.9750206215400004	0.9426238353599999	0.9673526568199994	0.9652326347200005	0.9705561703000005	0.9453278719000008	0.9690919053
