	afr_Latn	arb_Arab	azj_Latn	bak_Cyrl	bel_Cyrl	ben_Beng	bul_Cyrl	cmn_Hani	dan_Latn	deu_Latn	ell_Grek	eng_Latn	eus_Latn	fin_Latn	fra_Latn	heb_Hebr	hin_Deva	hun_Latn	hye_Armn	ind_Latn	ita_Latn	jpn_Jpan	kat_Geor	kaz_Cyrl	kir_Cyrl	kor_Hang	lit_Latn	mal_Mlym	mar_Deva	mya_Mymr	nld_Latn	pes_Arab	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	spa_Latn	swe_Latn	swh_Latn	tam_Taml	tat_Cyrl	tel_Telu	tgk_Cyrl	tgl_Latn	tha_Thai	tuk_Latn	tur_Latn	ukr_Cyrl	urd_Arab	uzn_Latn	vie_Latn	yor_Latn	zsm_Latn
afr_Latn		0.9292707853199997	0.9185537295400006	0.9059025710800003	0.9151612758200001	0.9261311422199993	0.9284079447200002	0.9283897638999998	0.9468088795800012	0.9473679300400005	0.9308933806399995	0.9481552460000015	0.9297487290600005	0.9368779895599997	0.9422648145600007	0.9301545056999999	0.9276453679399999	0.9378937006199999	0.9211066946600003	0.9422050697200004	0.9417242539199998	0.9303054181600013	0.9295131286000009	0.911162423739999	0.9065525150399997	0.9324532602000009	0.9292402223999994	0.9230321948999999	0.9195318876799992	0.9196624826599998	0.9601290078600005	0.9276270960399995	0.9394658011000006	0.9424401679600007	0.9364162864800004	0.9341327321399996	0.9409688211399994	0.9430141678199998	0.9255447534799995	0.9252668807400005	0.9149048164799999	0.9235442159000002	0.9182148469400008	0.9180492914999994	0.92634439554	0.8999928850000001	0.9411802047400006	0.9234288482400008	0.9264786475799993	0.9257385754200006	0.9365378098999994	0.8900724416799995	0.9400637021199999
arb_Arab	0.9292707853199997		0.9309796785000012	0.9297239330800005	0.9360130204399996	0.9596516767400003	0.9495838379000002	0.9507082896799993	0.9477871607600006	0.9518292505399994	0.9618800037400003	0.9538729195000004	0.9353866083200012	0.9396287830599994	0.9551613109800008	0.9665244756400001	0.9581090032800003	0.9464100907599996	0.9462713537600006	0.9500552989200001	0.9558443774599998	0.9522550130199997	0.9599727083399996	0.9299951262799995	0.9280517416999998	0.959237428119999	0.9320875051399997	0.9504423366200001	0.9407478518799999	0.9570448015000006	0.9488639944199989	0.9662471199199999	0.9514138794600003	0.9532097432199989	0.9459745142199995	0.9608117308200004	0.9529340602400006	0.9494690664400001	0.9277117103400009	0.9554688024600003	0.9387653751599998	0.9499929709599998	0.9327225064800004	0.9215677331199993	0.9567391965999998	0.8978478663400001	0.9521256958599993	0.9487288366799996	0.9622703678200004	0.9319069788999994	0.95734310582	0.8847608573399995	0.9494941297399991
azj_Latn	0.9185537295400006	0.9309796785000012		0.9270852781800006	0.9287498875000001	0.9365312073000004	0.9285060168599997	0.9303278857800001	0.9357082560800005	0.9397466053399994	0.9384516309799994	0.9393109221399997	0.9277436738000006	0.9331748670199994	0.9390574883000004	0.9350975849999998	0.9368130211600002	0.9399999050200002	0.93580101806	0.936325157000001	0.9397144272600009	0.9318581023799996	0.940083161879999	0.9341025793600006	0.9300612469199997	0.9379180293000006	0.93003541274	0.9330438418200001	0.9242373966599997	0.9301893226199993	0.9351809232600008	0.9293763280599999	0.9389342035200003	0.9386046924800003	0.9407104444800007	0.9379711145399996	0.93899698798	0.9405302915400002	0.9215852033599996	0.9345647152000002	0.9414964686999995	0.9367552585600006	0.9191259496799996	0.9105287903799999	0.9374894948399997	0.9213078813799996	0.9576410491800001	0.9315380909599993	0.92828203948	0.9513998062600002	0.9369087769399996	0.8896054915199998	0.9355205340799997
bak_Cyrl	0.9059025710800003	0.9297239330800005	0.9270852781800006		0.9393419702999999	0.9400643941400003	0.9410433724999995	0.9251390102000003	0.9263543110800009	0.9287915295600008	0.9392330528400001	0.9289862191799997	0.9182679638	0.9235922868199997	0.9302573746800005	0.9357700398599992	0.9382165386800001	0.9301158916200003	0.9446569856400006	0.9246713860599999	0.92943270736	0.9304456168599996	0.9447565215	0.9638742994599985	0.9533251776600009	0.9377402792999999	0.91842520712	0.9393896939000009	0.9319910098799998	0.9298739396000003	0.9254326848599996	0.9297854159400001	0.9302855736799998	0.9293208860800004	0.9317206447800003	0.9506287104800001	0.9284086836400007	0.9277284437200006	0.9063998595200001	0.93776265528	0.9802414787799997	0.93611502446	0.9417156406399998	0.8997576212600004	0.9381865326200002	0.89991661618	0.9378306187600006	0.9423755535800001	0.9295796829200003	0.9257509274200002	0.9291803489399997	0.8776991983599999	0.9226456259400001
bel_Cyrl	0.9151612758200001	0.9360130204399996	0.9287498875000001	0.9393419702999999		0.9443255111200002	0.9464130968999998	0.9300731389999999	0.9334586329800009	0.9362126028799995	0.9455745948200007	0.9355944885599997	0.9206903770599999	0.9263307105400003	0.93856814818	0.9394238065000006	0.9421936195199997	0.9346139797400008	0.9430343191400008	0.9309218285400006	0.9368386659200004	0.9328189172600004	0.9465660189799999	0.9421716221799994	0.9371415754999997	0.9410238159600003	0.9226476664799997	0.9388767989000002	0.9312104828200006	0.9315473745000009	0.9319869277200001	0.9331281634199994	0.93877543076	0.9361501924800005	0.9365629056999998	0.9579101597599999	0.9355514571600003	0.9342491353400001	0.9131315217600013	0.9401381875800001	0.9472800748400001	0.9372436662	0.9383529514600003	0.9073646167	0.9424224961000005	0.8933417335399995	0.9383953173999995	0.9591170579800006	0.9306272347	0.9321947131399991	0.9357982972200001	0.8779716653199995	0.929341028679999
ben_Beng	0.9261311422199993	0.9596516767400003	0.9365312073000004	0.9400643941400003	0.9443255111200002		0.9511459355199998	0.9482926293399982	0.9458178454599989	0.9501931644999996	0.96234547782	0.9495394531999996	0.9347037681399994	0.9400914365599997	0.9531758826599995	0.9633960813400003	0.9752792860400014	0.9515355581600001	0.96727674338	0.9475559612599997	0.9508382742800006	0.9527570348600002	0.9658996378599994	0.9404307801399999	0.9376025507800009	0.9606863237600002	0.9361809115800004	0.9748911146800002	0.9625248095199992	0.9693358816000003	0.9447897203799994	0.9547870720199992	0.95227593184	0.94868518434	0.9483022436199989	0.9590432180399998	0.9499975761600007	0.94638038084	0.9294339053800007	0.9748231549599986	0.9487270223800007	0.9744796615999994	0.9409736892200002	0.9247363217599991	0.9670124988799997	0.9004705553200001	0.9541887623599994	0.95415230444	0.9547186769000006	0.9367726246800003	0.9491169244000004	0.8908423273199987	0.9478073339800002
bul_Cyrl	0.9284079447200002	0.9495838379000002	0.9285060168599997	0.9410433724999995	0.9464130968999998	0.9511459355199998		0.9460602588600004	0.9490014044400003	0.9532224220000005	0.9571816851399997	0.9535050545000002	0.9300497957000011	0.9415475666599992	0.95134218738	0.95654629732	0.94948442508	0.9464478534000001	0.9438713248799997	0.9458052965400007	0.9539551432200003	0.9490212538399995	0.9580044848800007	0.9426320206600001	0.9407478998600004	0.9531879397599999	0.93567421158	0.9457126591200002	0.9451512975400006	0.9386937403399999	0.9450191848600002	0.9541129138599994	0.9567146930000003	0.9517561409800009	0.9515292896399999	0.9716303610199997	0.9507320360599998	0.9495242238000003	0.9230789823	0.9479560333800006	0.9500750715200001	0.9460601317400003	0.9482339362999997	0.9134889194199995	0.9511852501999996	0.8953543078999989	0.9510741659400007	0.9618126933199999	0.9441915395000003	0.93268706534	0.9512108644600004	0.8784524391199994	0.9445577394399994
cmn_Hani	0.9283897638999998	0.9507082896799993	0.9303278857800001	0.9251390102000003	0.9300731389999999	0.9482926293399982	0.9460602588600004		0.9471842182199997	0.9535756089599997	0.9501888873600006	0.9572194507800005	0.9354048507000006	0.9408257141200002	0.95154841996	0.9503075430600004	0.9488882649200004	0.9486819223799999	0.9404679246800003	0.9482198260599997	0.9518023087999994	0.967968266459999	0.9506180399199998	0.9280442804000004	0.9242572884800002	0.9633526269600006	0.9335624184200001	0.9429486574799993	0.9358239229199998	0.9420233533000004	0.94835354952	0.9521713523399981	0.9510656583199993	0.9515084602400004	0.9428864289199995	0.9579553975600001	0.9508538957799997	0.9495060748799989	0.9250221035800008	0.9447333389200006	0.9343090903599998	0.9455187003399995	0.9272573487000004	0.9165820058199997	0.9526426106400009	0.8973481089800005	0.9562553175399999	0.94212512056	0.9469810626800007	0.9293550587800007	0.9560309970200002	0.8854306923999993	0.9461337680600006
dan_Latn	0.9468088795800012	0.9477871607600006	0.9357082560800005	0.9263543110800009	0.9334586329800009	0.9458178454599989	0.9490014044400003	0.9471842182199997		0.9666485233000006	0.9517482111200009	0.9667939540799994	0.9454447022799998	0.9516516238399998	0.9626863695400003	0.9484052775000003	0.94592214972	0.95678671872	0.9394233812799997	0.9571924484400001	0.9617282607199997	0.9462935999400006	0.9485858807200007	0.9280741435999995	0.9250823761599997	0.951475888740001	0.9445931345999997	0.9398980685	0.9354362692200001	0.9380661752800009	0.9631473154200009	0.9512711184399998	0.9581874090600009	0.9608989751199998	0.9563762741799997	0.9557659335600003	0.9603908270999999	0.9760335367999998	0.9338320021	0.9412740548399996	0.9340503552399994	0.9420609701199993	0.9293506499400007	0.9299848994599993	0.9475629734799998	0.90782506004	0.9599483074599996	0.9430545000600004	0.94093884708	0.9406251792999993	0.9553598704799998	0.8965227168000007	0.9537295275000002
deu_Latn	0.9473679300400005	0.9518292505399994	0.9397466053399994	0.9287915295600008	0.9362126028799995	0.9501931644999996	0.9532224220000005	0.9535756089599997	0.9666485233000006		0.9584549436600005	0.9727755349799992	0.9494116886200006	0.9549280774999998	0.96824539358	0.9561198469999997	0.9510873888799999	0.9620173983799999	0.9426852687199991	0.9611058890000006	0.9676094953799999	0.9554667487399997	0.9551892725200007	0.9318965402199999	0.9287960497799992	0.9593462064400005	0.9452182466600005	0.9446104784399997	0.9382517627800006	0.9408660380599997	0.9688012820999999	0.9546071492000001	0.9639288913599997	0.96655684956	0.9586982767800003	0.9645550031799998	0.9663197235400007	0.9684145309599994	0.9388288092400012	0.9450027146600005	0.9377109525800005	0.9476534847000017	0.9324446592399996	0.9274174578600006	0.9514300833999997	0.91182556174	0.9644717720200002	0.9478374036399997	0.9495429694199998	0.9419915500999996	0.9618027884200009	0.8961756987399997	0.9580622601399995
