	afr_Latn	amh_Ethi	arb_Arab	bel_Cyrl	ben_Beng	bul_Cyrl	cat_Latn	ceb_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fil_Latn	fin_Latn	fra_Latn	fry_Latn	gla_Latn	gle_Latn	guj_Gujr	hat_Latn	hau_Latn	haw_Latn	heb_Hebr	hin_Deva	hin_Latn	hnj_Latn	hun_Latn	hye_Armn	ibo_Latn	ind_Latn	isl_Latn	ita_Latn	jav_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lat_Latn	lav_Latn	lit_Latn	ltz_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mlt_Latn	mri_Latn	mya_Mymr	nep_Deva	nld_Latn	nor_Latn	nya_Latn	pan_Guru	pes_Arab	plt_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	sin_Sinh	slk_Latn	slv_Latn	smo_Latn	sna_Latn	snd_Arab	som_Latn	sot_Latn	spa_Latn	sqi_Latn	srp_Cyrl	sun_Latn	swe_Latn	swh_Latn	tam_Taml	tel_Telu	tgk_Cyrl	tha_Thai	tur_Latn	ukr_Cyrl	urd_Arab	vie_Latn	xho_Latn	yor_Latn	zsm_Latn	zul_Latn
afr_Latn		0.9995207078799999	0.9970580282200004	0.9994757676800002	0.9995857499799983	0.9995258014000001	0.9995508851200005	0.9995522518400002	0.9994775034400011	0.9992975571599992	0.9947067035200011	0.9995008831000003	0.9994979837600002	0.9994978377000006	0.9995209313400005	0.9993387170799998	0.9995304208399997	0.9994778145200002	0.9995833383599995	0.9995942430800007	0.9995588044999995	0.9995783422800005	0.9995786103999998	0.9995391653399998	0.9995161639599995	0.9995268671600005	0.9995864416400003	0.9988445259399993	0.99929609326	0.99953145564	0.9995968514999999	0.9995820554399999	0.9995530469600002	0.9994970771799997	0.9993065193799993	0.9994935735399996	0.99950428144	0.9994724023399987	0.9995745772600007	0.9966187752799996	0.9989322822399995	0.9993906995200001	0.9994977868799997	0.9633820189308004	0.9995454338399986	0.9995072061800008	0.99884310544	0.9993949574600006	0.9995021983000002	0.9992954304399997	0.9995286986	0.9983447547199986	0.9993163814	0.99946846116	0.99956184318	0.9991645368800007	0.9976606569199997	0.9995653196400003	0.9995287406199995	0.9994613645000002	0.9994686442999997	0.9996130037000001	0.9994556560200004	0.999572272420001	0.9995253510800001	0.9994256120600005	0.9995908737800001	0.9994737809600001	0.9992745420400007	0.9994993084200003	0.9994048763800013	0.9993054650799991	0.9994325570200012	0.9995048899399996	0.9995827642799998	0.9994391106999996	0.9995029275399994	0.9995219955599993	0.9994895318800002	0.9995257590400001	0.9995160052199995	0.9995034954000006	0.9990268841400002	0.9991539378199993	0.9995460566000002	0.9975633841600007	0.9993134849999988	0.9994554849800001	0.9994200636999994	0.9995727271800002	0.9995091510000003	0.9990594921000003	0.9995216875999997	0.9995834378199999
amh_Ethi	0.9995207078799999		0.9971565288399997	0.9994402655799994	0.9995859586800003	0.9994949372999992	0.9995089561799996	0.9995237608999994	0.9994340982200014	0.9993544928399993	0.9944786503800007	0.9994793818600002	0.9994713653600001	0.9994489024199988	0.9994971121000005	0.9993404407200002	0.9995125090999997	0.9995252618600007	0.9995244441999992	0.9995709071600003	0.9994961461800012	0.9995331295400001	0.9995571958999999	0.9995223789999997	0.9995031142799997	0.9994795246400001	0.9995651460599989	0.9987603114599996	0.9993324950800004	0.9995360832800007	0.9995784910199992	0.9995402729999999	0.999494961	0.9994692797400005	0.9992349364800004	0.9994548908399989	0.9994876592200002	0.9994510093799999	0.9995113899200004	0.9968472720599996	0.9989910233	0.9993178342000002	0.9994673520800007	0.9632919424457996	0.9995046434600001	0.99949227302	0.9988293421800016	0.999440698019999	0.9995140846399998	0.9992834065999999	0.9995035103199997	0.9984735541999994	0.9993694677799995	0.9994506267600008	0.9995223659000001	0.9991009945200003	0.9975781610599994	0.9995598809599998	0.9994611450400005	0.9994206834600002	0.9994546164600006	0.9995687520199996	0.9993937500800002	0.99955966606	0.9994311833599996	0.9993898898800003	0.9996042973399996	0.9994641733600008	0.9993482299000004	0.9994402880799994	0.9993311853200004	0.9992643285000005	0.99942198888	0.9995055286999998	0.9995283757600003	0.99944925542	0.9994452615000002	0.9994683752800001	0.9994590605800004	0.999521082560001	0.99951847238	0.9994861811199997	0.9991094493999997	0.9992449365799995	0.99956889764	0.9976246522799997	0.9993524273200004	0.9994453851799998	0.9994647814799997	0.9995184586600008	0.99948513976	0.9989986789599994	0.9994973055400005	0.9995677997799997
arb_Arab	0.9970580282200004	0.9971565288399997		0.9967010810000003	0.9971462766800009	0.9970412618600002	0.99705592684	0.9970285290200002	0.9967315195199993	0.9971497227199999	0.9922023263199996	0.9966281104999999	0.9970121819600004	0.9968252303199998	0.9967828688800003	0.9971539091399998	0.9971694502599986	0.9972268767	0.9967560990200003	0.9971121063000006	0.9968034230199994	0.9967274355000001	0.9969617542599998	0.9968418939599999	0.9972778551999999	0.9967566885599997	0.9970887534599995	0.9953317374399997	0.9973047219200002	0.9969395361799999	0.9972470330199995	0.9969197682400001	0.9969327566199992	0.9967233024199988	0.9962328079199989	0.9966939279199999	0.9970812543399996	0.9966536488600001	0.9968592266399999	0.9962038600199992	0.9974057163599996	0.9963326466599999	0.9969106409400001	0.9625306878400004	0.9966012046999998	0.9969518907799997	0.9961641466000006	0.9971491977600003	0.9969989238000002	0.99718576796	0.9974014283799999	0.9970614458199994	0.9972247686400003	0.9970048783199998	0.9967537216199994	0.9959297647200002	0.9940339015200006	0.9969391643199998	0.9971138029399994	0.9972781560600001	0.9971097923200002	0.9971230614199992	0.9971114181600008	0.9970645569599992	0.9967415707799997	0.9965984846999997	0.9970786377200007	0.9969059302800003	0.9973123050399998	0.9970364501400011	0.9972523265799997	0.99637042184	0.9972298967599996	0.9967793911799998	0.9970130449600002	0.9966425599199998	0.9969737299200007	0.99680992174	0.9969924044	0.9968315644399999	0.9971641251200001	0.9969654397600001	0.9972224759200006	0.9972676678200004	0.9971045392799998	0.9947519104200006	0.99721963054	0.9969287696600001	0.997346661840001	0.9968208225999998	0.996874144719999	0.9957318084800004	0.9966809231600005	0.9969346334200005
bel_Cyrl	0.9994757676800002	0.9994402655799994	0.9967010810000003		0.9995747310599997	0.9995281211599992	0.99955466542	0.9995185732400002	0.9995880814799999	0.9992670882200003	0.9946767787000007	0.9996449987000006	0.9995185196199996	0.9995402249599996	0.9996394292800007	0.9992049026599997	0.99947161322	0.9994397201400002	0.9996329835800002	0.99954215078	0.9996242409000009	0.9997304783399992	0.9996498776399994	0.9996430896599997	0.9994036794400002	0.9995964373400001	0.9995046167600012	0.99926748398	0.9991578035000003	0.9995767392999995	0.9994938309200008	0.9995968996399993	0.999529910339999	0.9996489692200003	0.9995740548599992	0.9995895416800006	0.99947682474	0.9995996893800007	0.9996172345799997	0.9959938135000004	0.9986128759799995	0.9996228216199997	0.9994944968199994	0.9631100769919997	0.9996801929199999	0.9994903970799995	0.9989309020000001	0.9992816193000001	0.9994316194799997	0.9990721205200006	0.9993876030799995	0.9979131586000002	0.9992079633200005	0.9994724483999996	0.9997126558000002	0.9994711164999989	0.9981243958199996	0.9996253420000001	0.9994596261399996	0.9992394625	0.9994921307800007	0.9996124007600008	0.99936758952	0.9995587431199995	0.9996382207400005	0.9996133768400001	0.9996201897799991	0.9996102945199998	0.9991028896200004	0.9994814557600005	0.9992659607599993	0.9995410434999997	0.9993247551800001	0.9996405846199999	0.9995316856999998	0.9995562943600005	0.9995001516200006	0.9995924069199985	0.9995512001999999	0.9995794929399999	0.9994329118000005	0.9995522626000003	0.9988224373600001	0.9989843978399994	0.9995226506800003	0.9977898236000005	0.9991456554799998	0.9995914447199997	0.999370944340001	0.9996614750400006	0.9995571586800008	0.9994530313599987	0.9996069019600001	0.9996011517800004
ben_Beng	0.9995857499799983	0.9995859586800003	0.9971462766800009	0.9995747310599997		0.9995846740800003	0.9996221945200006	0.9995650137000001	0.9995419666200005	0.9993994262400001	0.9948030820599995	0.9996321595800002	0.9995769163399993	0.9995811165999996	0.9996164185999998	0.9993601764199996	0.9995750130599996	0.9995646362200002	0.9996777263000005	0.9996710677400016	0.9996722883400002	0.9996782377999999	0.9996894985200002	0.9996401638200005	0.9996100813600005	0.9996078447400002	0.9996475582599998	0.9990344334400008	0.9993849016399994	0.99967696302	0.9996320117599988	0.9996476638199997	0.9995957209799994	0.9995874845000007	0.9994392050200008	0.9996212106799992	0.9995663639199989	0.9995801739400003	0.9996730573800001	0.9965816542400002	0.9990171292400002	0.9995295924799998	0.9995553985800001	0.9634013044340001	0.9996477246200004	0.9995820892799999	0.9989259478400002	0.999416516180001	0.99956955546	0.9993063034599999	0.9995489461599997	0.9983599402000002	0.9994026014999997	0.9995442406399997	0.99967500796	0.9993572166200004	0.9978085904000004	0.99969196752	0.9995437786400003	0.9994303300600006	0.9995505312000003	0.9996868065200001	0.9994915865599996	0.9996870989399999	0.9995763048599993	0.9995663812800009	0.9996771897800004	0.9995832019600008	0.9993869655199995	0.9995257773200003	0.9994464801399996	0.9994698008399995	0.9994939789999999	0.9996388482400006	0.9996086564	0.9995512936000005	0.9995272199399994	0.9996210984999999	0.9995889964200004	0.9996154896199997	0.9995575893399995	0.9996188144599997	0.9991197721000002	0.9991942839399992	0.9996181902600001	0.9977500750399999	0.999353765159999	0.9995477853800001	0.9995376877799996	0.999651071679999	0.9996057851600003	0.99924335862	0.9996109643999994	0.9996414929000007
bul_Cyrl	0.9995258014000001	0.9994949372999992	0.9970412618600002	0.9995281211599992	0.9995846740800003		0.9995620482799998	0.99953330868	0.9995070726799993	0.9993156783399997	0.9946849267000006	0.999516226820001	0.9995294209600002	0.9995046932799998	0.9995446109999999	0.9993378808600006	0.9995339794200003	0.9995109266199997	0.9995813562599996	0.99959205538	0.9995737471799999	0.9995906449399997	0.9995643814400004	0.9995304709799997	0.9995266121600005	0.9994936534600007	0.9995794400400004	0.9988767145600005	0.9993055461000001	0.9995887953999996	0.9995481847400003	0.9995867497599996	0.9994937167999994	0.99950037226	0.9993230845400007	0.9994568128200007	0.9994761348999998	0.9994786471999998	0.9996027971400008	0.9966269110599997	0.9989344380400001	0.9994145234799995	0.9994522470200002	0.9632626565772001	0.9995501604599996	0.9994747770400011	0.9988744572600007	0.9994268862399994	0.99950603998	0.9993084347400008	0.9995451489000002	0.9983285151399993	0.9993676442399999	0.9995870839000005	0.9995581738600007	0.9991914555600006	0.9976195395399984	0.9995878044399998	0.9995445939599998	0.9994305322999991	0.9995028983399995	0.9995908694199999	0.9994176038199994	0.9995829241200007	0.9995301443599998	0.9994845511399991	0.9996283541200007	0.9995642134799999	0.9992734169400004	0.9994844879599993	0.9994578750600001	0.9993559713800003	0.9994363228600013	0.9995431074999999	0.9995768209799999	0.9994479934400002	0.99949165258	0.9995323931999996	0.9995607885999991	0.9995388908600008	0.9995094220199991	0.9995592483799993	0.9990745642400003	0.9991734128799995	0.9995613259599998	0.997557736	0.9993075007999994	0.9995440717999993	0.9994684545399993	0.9995525193800001	0.9994967319400003	0.999116690879999	0.9994814580000004	0.9995550705800005
cat_Latn	0.9995508851200005	0.9995089561799996	0.99705592684	0.99955466542	0.9996221945200006	0.9995620482799998		0.9995574048600008	0.9995590370799998	0.9993632481599994	0.9946371355799994	0.9996050698799996	0.9995559311600004	0.9995467359600004	0.9996273507999992	0.9993392695199996	0.9995327144599992	0.9995637242000002	0.99964883128	0.9996255533199998	0.9996491788799994	0.9996497933199998	0.9996646512800009	0.9996450603000002	0.9995330949400001	0.9995855582599998	0.9995890849000002	0.9990069839400002	0.999332028580001	0.9996059840200007	0.9996097146400005	0.9996186742400002	0.9996064374000004	0.9995574735600006	0.9994168855000006	0.9995692415000009	0.9995076454200003	0.9995774267599994	0.9996491173600013	0.9965417007599998	0.9989524370400003	0.9994919836799997	0.999562182740001	0.9633125717448001	0.9995958091000008	0.9995036802000005	0.9988924870400001	0.9994323793400005	0.9995545743399997	0.9992680132799999	0.9995303884199994	0.9982882493999997	0.9993690210199998	0.9995155454200003	0.99965053152	0.9993452586599993	0.9978654447399993	0.9996445322799996	0.9995679666399995	0.9994180159000005	0.9994837611599994	0.9996550723000002	0.9994517149600001	0.99962728238	0.99956046378	0.9996050295999995	0.9996407613200002	0.9995958116199992	0.9993109842199999	0.9995128358400003	0.9994454761600002	0.9994431650000005	0.9994632757600009	0.9996130868800012	0.99957954426	0.9995233036599998	0.9995778326800006	0.9995966238799993	0.999558049139999	0.9996337619600005	0.9995538906600007	0.9995825505599989	0.9990277740199999	0.9991734720400002	0.9995830581999999	0.9976864304000015	0.9992975967599996	0.9995449725200003	0.9995040479399999	0.9996519152799995	0.9995368215999992	0.9992253318400008	0.9995858380800009	0.9996026242199992
ceb_Latn	0.9995522518400002	0.9995237608999994	0.9970285290200002	0.9995185732400002	0.9995650137000001	0.99953330868	0.9995574048600008		0.9995229799599998	0.9993447889800005	0.9944997208999993	0.9995406959999997	0.9995082588000015	0.9994596363799997	0.9995628694599997	0.9993256709799996	0.9995106156200004	0.9995235717799994	0.9996237844000002	0.9996054099999994	0.9995552778799993	0.9996084808400001	0.99957984848	0.9995661249399997	0.9994663765000005	0.9995156062799991	0.9995816453999993	0.9988969765599999	0.999265870339999	0.9995458623799999	0.9995451115600011	0.99953876824	0.99953458158	0.9995240885599999	0.9993313371599999	0.9994940762800008	0.99948791412	0.9995281417399999	0.9996321523999998	0.9965580726799992	0.9989397189600001	0.9993916411799998	0.9994826081799997	0.9632759071034008	0.9995571086199999	0.9995000436800006	0.9989378491199997	0.9994114938199994	0.9995383935599997	0.9993032760399998	0.9995076498199995	0.9983517583599989	0.9993068649200004	0.9994722958600006	0.9995751863600003	0.9992103603999992	0.9977874769000009	0.9995838248599996	0.9995143576799985	0.9993932108799997	0.9995432548200003	0.9996126673399995	0.9994551461800001	0.9995600842400005	0.9994871921600003	0.9994681616	0.9995934171800007	0.9995008247399999	0.9993042701600009	0.9994576621800002	0.9994231939999998	0.9993551106199999	0.99942708532	0.9995614236599993	0.9995383414800003	0.9994694412199995	0.9995037649799998	0.9995454203799995	0.9994881519599994	0.9995424029600004	0.9995274725000012	0.9995483110399999	0.9990293500399999	0.9992006171999991	0.99958297254	0.9976733816800003	0.9993213095800001	0.9994801606200011	0.9994053772799999	0.9995701875999997	0.9995189159399998	0.9991332925199997	0.9995020251399993	0.9995517308599998
ces_Latn	0.9994775034400011	0.9994340982200014	0.9967315195199993	0.9995880814799999	0.9995419666200005	0.9995070726799993	0.9995590370799998	0.9995229799599998		0.9992244125599998	0.9947822255199996	0.9996110807199986	0.9994571666599997	0.9995062786799999	0.9995815874999994	0.9991905825599998	0.9994685369799999	0.9994289730399996	0.9996437788999994	0.9995362145600003	0.9996370948399999	0.9996733208600003	0.9996399370000003	0.9996221393199997	0.9994417099399995	0.9995446099200004	0.9995143700000003	0.9991983155	0.99916925394	0.99957716646	0.9994996339999993	0.9995665139599995	0.9995465337400006	0.9995776998799998	0.9994693636399999	0.9995694303600002	0.9994625834799998	0.9995673896000002	0.999596083079999	0.9960589436199997	0.9986822232599993	0.9995286536800003	0.9994569854199994	0.9631682244340001	0.9996391681599996	0.9995065884199991	0.9988660948400003	0.9993046915399997	0.9995076919200008	0.9991214917400001	0.9994075245600005	0.9979756123600001	0.9992397725000011	0.9994757496799992	0.99966002136	0.9994195961000001	0.9980292218799995	0.9996390389200006	0.9994670577800003	0.9992977569400001	0.9994885874800008	0.999570295	0.9993510102999994	0.9995792053399988	0.9996039523199997	0.9995658374000002	0.9995826163199995	0.9995045004600001	0.9991311974400002	0.9995202960599996	0.9993298320799998	0.9994847971400006	0.9993157886799988	0.9996058867000014	0.9995095300399999	0.99956258754	0.9994897001799986	0.9995861315399998	0.9994943333600013	0.9995865666199997	0.9994154238599993	0.9994844574799991	0.9988512906399998	0.9989922646199996	0.99948852212	0.9977213045399995	0.9991982917199995	0.9994963771000006	0.9993483227400003	0.9996194197000008	0.9995382891999993	0.9993629525799994	0.9995819108199995	0.9995866599000002
ckb_Arab	0.9992975571599992	0.9993544928399993	0.9971497227199999	0.9992670882200003	0.9993994262400001	0.9993156783399997	0.9993632481599994	0.9993447889800005	0.9992244125599998		0.99429635192	0.9992374498599994	0.9993430392199993	0.9992605550399992	0.9993485159999997	0.9991407040799996	0.9993661550999997	0.99932829548	0.9993256167399995	0.999373877620001	0.9993218565600004	0.9993667577999998	0.9993841970000013	0.9993074909999998	0.9993316698200004	0.9993280125399999	0.9993959797999994	0.99853913724	0.9991431378400002	0.9993285059599999	0.9994414688000003	0.9993442181200004	0.9992926077000004	0.9992593548999998	0.9990673974799998	0.9992501971799999	0.9993129292800006	0.9992392036199998	0.9993483910399998	0.9966112021799999	0.9988536308600005	0.9991237213399996	0.9992755453600007	0.9632853844959999	0.9992430271199993	0.9992478486200006	0.9986178447599997	0.9992529244199999	0.9993378642600005	0.9990990959399999	0.9993433814000001	0.9983084461600006	0.9991698205599991	0.9992423707599998	0.9993389649200005	0.9989084727600008	0.9974064497400009	0.9993742918600002	0.9993230177800002	0.9992467601200005	0.9993272735400003	0.9994005054800006	0.9992098969999995	0.9994265048399994	0.999205177980001	0.9991933465999998	0.9994011842199996	0.9993040928	0.9991949605400003	0.9992570499599994	0.9992394482600011	0.9990882467799996	0.9993277887400004	0.9992842296999994	0.9993122273399999	0.999243776139999	0.999287328	0.9992676192799992	0.9992330051800008	0.9993196246000006	0.9993349084600001	0.9993166530400002	0.99892664368	0.9990611072599994	0.999379957699999	0.9972798770800012	0.9991297167400002	0.9992526555400008	0.9993171524999995	0.9993579267600006	0.9993179384400004	0.9987897712599997	0.9992436129600001	0.9993458858400008
