	amh_Ethi	asm_Beng	azj_Latn	bel_Cyrl	ben_Beng	bos_Latn	bul_Cyrl	ceb_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ekk_Latn	ell_Grek	eng_Latn	fin_Latn	fra_Latn	gle_Latn	guj_Gujr	hau_Latn	heb_Hebr	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	ita_Latn	jav_Latn	kaz_Cyrl	kir_Cyrl	lin_Latn	lit_Latn	ltz_Latn	mal_Mlym	mar_Deva	mlt_Latn	mon_Cyrl	mri_Latn	mya_Mymr	nep_Deva	oci_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	slv_Latn	sna_Latn	snd_Arab	som_Latn	spa_Latn	srp_Cyrl	swh_Latn	tam_Taml	tha_Thai	tur_Latn	ukr_Cyrl	uzn_Latn	vie_Latn	zsm_Latn	zul_Latn
amh_Ethi		0.9768230599399992	0.9773067779599991	0.9782977243599998	0.9692049496599991	0.9786316473999993	0.9765579055000007	0.9730436092199993	0.9778990468399996	0.9785647365399999	0.9720204806400001	0.9696614791600002	0.9770752154200001	0.9754958454599996	0.9796955360400007	0.9763469537800002	0.9598850323599999	0.9742976869200001	0.9703246622399994	0.9761704234600007	0.9744627678799995	0.97569301468	0.9772597289000002	0.9761896299400006	0.9786457478599996	0.9771379641200005	0.9778828199199999	0.9712844881000005	0.9777317919399995	0.9755274099600001	0.9794331416000006	0.9697870829799996	0.9784013377800002	0.9763994839799998	0.9774624178200001	0.9768450309800002	0.9784135846199992	0.9700302951199998	0.9717895821599999	0.97282577852	0.9770403503599995	0.9725602791399998	0.9771740628800004	0.9767196248800004	0.9773613427000012	0.9781468261000004	0.978031993699999	0.9743659198600003	0.9736126284199996	0.9750292597199994	0.9615645256400007	0.9789601975600004	0.9747782364799996	0.97519011806	0.97563190794	0.9754191880999997	0.9769910974800005	0.9782120898799999	0.974182687039999	0.9785984017799996	0.9745932825999998
asm_Beng	0.9768230599399992		0.9772924736999995	0.98045980746	0.9751694562999997	0.9794442798400013	0.9776557387000001	0.9754685254000003	0.9790653892199995	0.9786493917800004	0.9727729188200004	0.9721617068199999	0.9780600418999998	0.9769317055200003	0.9795944788200003	0.9790729922800002	0.9646739282399994	0.9724532647400003	0.9719363300400002	0.9787265911600007	0.9789705025600011	0.9766068329199994	0.9794442121200002	0.9783784562400002	0.9778378541199996	0.9789033037199997	0.9800536301199989	0.9733224062999998	0.9806553664599988	0.9775911308399995	0.9805687346199995	0.9730932317400002	0.9811113311400006	0.9778778392800003	0.9785027428799985	0.9806632848200005	0.9791741100799985	0.9682177432399998	0.9766436293600008	0.9733885494999994	0.9822801425400003	0.9758152051399999	0.9783198750600005	0.9795336604199992	0.9793949041000005	0.9790538757199997	0.979405915679999	0.9773723450599998	0.9763433704200013	0.9760096592199993	0.9642966529600006	0.9802072701199996	0.9780627927400003	0.9781721961999998	0.9773404311999999	0.9743348412000006	0.98028440664	0.9807492421600005	0.9765083939199998	0.9805231168199996	0.9754534155400008
azj_Latn	0.9773067779599991	0.9772924736999995		0.9783852086199996	0.9697475257799998	0.9800274756399999	0.9770611762000001	0.9712494006800002	0.9790891605999994	0.9787774355199987	0.9752317451399991	0.9711831774599988	0.97916132142	0.9781769111	0.9792806918000002	0.9771840224399999	0.9632793797399994	0.9748706688200005	0.9734751972199999	0.9778789679200002	0.9724547765799998	0.9764747833200008	0.9773476333199994	0.9770853044600006	0.97869528642	0.97724842066	0.9777197599200007	0.9729622428800001	0.9787178549000001	0.9780111320399992	0.9798745713599994	0.9696996999999997	0.9787342261	0.9780147281599995	0.9759503440599997	0.9768705180600008	0.9797896287199996	0.97189611936	0.9719818767200002	0.9741101230799988	0.9758135754200006	0.9733948481599999	0.9780512990400005	0.9785315136999992	0.9787889785400009	0.9789436159599999	0.9782734898599995	0.9760224814400007	0.9734226593000007	0.9750771112399995	0.9639808361599994	0.9794672135599998	0.9742826299600001	0.9741064213999988	0.9748693142799988	0.9783583286800002	0.97787016238	0.9800836270999994	0.9750248885199997	0.9787294613799997	0.9740778539599994
bel_Cyrl	0.9782977243599998	0.98045980746	0.9783852086199996		0.9735972679199989	0.982011878200001	0.9807723518399996	0.9765448978599995	0.9832441098199999	0.9795636636599996	0.9745769031200001	0.9722679628400007	0.9793085091999996	0.9792506718999995	0.9827817238800002	0.9811788067600002	0.9632286186999995	0.97419639486	0.9726451109400007	0.9789865878199997	0.98000818142	0.9784400596000002	0.9813347831399992	0.98011582212	0.9797110643000001	0.9810326381199996	0.98101815692	0.9750065408600004	0.980170822259999	0.9811097028400008	0.98325322804	0.9737869743199996	0.9840199037599988	0.9803667143799991	0.9797376157600012	0.9810125426200014	0.9819054086799996	0.9699029931800003	0.9756687896199991	0.9736915174200004	0.9817933491000006	0.9777940856200003	0.9807992175999997	0.9816403897199989	0.9798385779199995	0.98426948594	0.9815047790799998	0.9796870610799999	0.9760097048799999	0.976539722500001	0.96326059554	0.9825443948799998	0.9788097291600008	0.978219104780001	0.9777933389000003	0.9758301582000003	0.9856313551399993	0.98262636796	0.9765396438199999	0.9810525737600009	0.9761903119400002
ben_Beng	0.9692049496599991	0.9751694562999997	0.9697475257799998	0.9735972679199989		0.9717102515200002	0.9705619216000001	0.9698867453999992	0.97194627248	0.9714472796400001	0.9662601664000002	0.9640421101999995	0.9697464187399997	0.9686304765999999	0.9724618998799994	0.9723157499199999	0.9551974139599998	0.9649301072599991	0.9635264057400001	0.9688695460999999	0.9729420781400001	0.9696589585799992	0.9719332580400004	0.9701568672000015	0.9700583972799988	0.9719013931800006	0.9727188331799994	0.9658825564800005	0.9736640749799993	0.9705768872199989	0.973409704100001	0.9669032730800001	0.9736407952999994	0.9693338532600002	0.9719485583599995	0.9741574862399999	0.9719426377200003	0.9617273290000004	0.9677163289600003	0.9660825187200005	0.9750501758399995	0.9685276625599999	0.9702550968400002	0.9725711698200005	0.9718516512999996	0.9715255812800005	0.9711542200399998	0.9704015786799991	0.9700213811000002	0.9685226049000003	0.9558514391999999	0.9723336221400009	0.9700468189199994	0.9716410282199999	0.9703566116200005	0.9672875602400002	0.9729109476400006	0.9728225960000003	0.9697316901599992	0.9732977176399995	0.9678158615199995
bos_Latn	0.9786316473999993	0.9794442798400013	0.9800274756399999	0.982011878200001	0.9717102515200002		0.9811899704	0.9726323624600007	0.98415190054	0.9803786089399992	0.9762296788600002	0.9724496862600001	0.9818833077599997	0.981044913399999	0.9829538696000012	0.9814658609799999	0.9690814839800009	0.9779397152599993	0.9771286503200008	0.9794939644599997	0.9764774937200005	0.9768563990999999	0.97939429474	0.983725563019999	0.9817941345000005	0.9788971999200005	0.9792943046799993	0.9791864466600007	0.9799670087399998	0.979810117480001	0.980868758460001	0.9721849921199998	0.9829032436999995	0.9801162114199995	0.9773609113600006	0.9786972863599999	0.9829282207799996	0.9718361921800002	0.9732972054000006	0.9757874147200005	0.9789532702399998	0.9745774667599993	0.9829631324400003	0.9819714973200007	0.9829799469999992	0.9831708774999999	0.9834756201400006	0.9783965248999995	0.9738040761600008	0.97492775432	0.9694836571600003	0.9858761128399998	0.9779744469999995	0.9752903608400001	0.9744892398000004	0.9795225866400004	0.9824656315400006	0.980697267	0.9755131577400009	0.9791007589599992	0.9759340955799993
bul_Cyrl	0.9765579055000007	0.9776557387000001	0.9770611762000001	0.9807723518399996	0.9705619216000001	0.9811899704		0.971816835039999	0.9809448568999999	0.9776860659800003	0.9716551713400005	0.9690049712400005	0.9785641991200005	0.9788687257200004	0.9809358885599996	0.9816338709999989	0.9659314154800002	0.9730305734800009	0.9739374318600001	0.9748821450000001	0.9771566648199997	0.97254110266	0.9793570910000008	0.9802958565600001	0.97821900022	0.9790140511600004	0.9776997101400009	0.975824603680001	0.97674035252	0.9766991231800006	0.9803938776799999	0.96628950444	0.9826632450599989	0.9796704728400002	0.9762713311200006	0.9781490003400004	0.9778261878599994	0.9681424336599999	0.9689921473199994	0.97009361638	0.9787300829399995	0.9724163663799994	0.9813802790400004	0.9802454981599996	0.9810952225999994	0.9821505011999999	0.9825598024000005	0.9744675677199996	0.9726929948599995	0.9711657826200002	0.9653552406400008	0.9824702280400006	0.9739655129400003	0.9748461618999993	0.9733019471800001	0.9755018901000003	0.9827410852599998	0.9799081818799994	0.9727768221399995	0.97837283962	0.9715740434400003
ceb_Latn	0.9730436092199993	0.9754685254000003	0.9712494006800002	0.9765448978599995	0.9698867453999992	0.9726323624600007	0.971816835039999		0.9731344280800005	0.9740564096800004	0.9665555886199998	0.9661863785599993	0.9709915682399997	0.97072219362	0.9754234587200008	0.9729979088999994	0.9545315386600002	0.9690646318799998	0.9644639587600004	0.9719512087599986	0.97561873876	0.9742590797599999	0.976129227600001	0.9717464214600002	0.9731871801199995	0.975302753979999	0.97781963738	0.9671606183000013	0.9767025531400004	0.9737026652000005	0.9772167348799998	0.9712262526600004	0.9759293118199998	0.9719588367400013	0.9760933251200002	0.9763999868400004	0.9738722224399998	0.9629809374599996	0.9712775498199996	0.9689219410200001	0.9778197873399997	0.9728267724200006	0.97195168002	0.9733630703400006	0.9721226300799999	0.9739163634800004	0.9732072550199997	0.9741232375399999	0.9731022329000003	0.9734135001000007	0.9571256750800001	0.9734054292999997	0.9736393916400006	0.9741286915799998	0.9747760386799997	0.9682919402399999	0.9750970368199999	0.9757992308000007	0.9723105479999999	0.97838854514	0.9711436132600001
ces_Latn	0.9778990468399996	0.9790653892199995	0.9790891605999994	0.9832441098199999	0.97194627248	0.98415190054	0.9809448568999999	0.9731344280800005		0.9793379232399995	0.9754786808000001	0.9723794230199994	0.98077815398	0.9804569883600008	0.9831799487000008	0.9821145385999988	0.9671689692799993	0.9755367651199998	0.9750776422599998	0.9787521219400009	0.9777941797799999	0.976820349200001	0.9796779739599987	0.9806154414599996	0.9807250390000002	0.9798104137600008	0.9794288285400001	0.9778495924600001	0.9796392161800002	0.9807369519799992	0.9819288736800004	0.9709706827600002	0.9832480841799995	0.9803308200599992	0.9785972889399995	0.9796022424600013	0.9822462403200002	0.9702385490799997	0.97314584398	0.9737714611199999	0.9801207019799999	0.9761328378399999	0.9818006254800009	0.9817165534199992	0.9813214331200005	0.9834445499600004	0.9824965475199994	0.9785949856800003	0.9745737031000014	0.9745380887399995	0.9667826332199996	0.9826297429800009	0.9766970600200003	0.9763790076	0.9757617321000007	0.9775983626399997	0.9836646903399996	0.9817124602200005	0.9753648099599995	0.9794916218200007	0.9744926475400001
ckb_Arab	0.9785647365399999	0.9786493917800004	0.9787774355199987	0.9795636636599996	0.9714472796400001	0.9803786089399992	0.9776860659800003	0.9740564096800004	0.9793379232399995		0.9741741212200005	0.971846060220001	0.9790384277599993	0.9767692643599992	0.9797706645799995	0.9784569042000002	0.96279330172	0.97350396398	0.9729894547400014	0.9780387097799998	0.9761823251399993	0.9778394127800005	0.9795277163800005	0.9780446866999991	0.9790363699199996	0.9782065271799997	0.9794547038599997	0.9726377942400001	0.9797426751399995	0.9774984623199999	0.9803563067399998	0.9726631707400001	0.9793590533199997	0.9775384968800007	0.97817216384	0.9790702941200004	0.9800691757600001	0.9711549387799994	0.9750407020599995	0.9753690471399998	0.9790649066000002	0.97573733252	0.9781929641999993	0.9793212094400006	0.9794796628799988	0.979299434119999	0.97921938842	0.9774829776799997	0.9759357664399994	0.9758763804399996	0.9650014249599997	0.98103232436	0.9777613961800004	0.97655994668	0.9768543855600005	0.9771121419400013	0.97857358826	0.9795159061199998	0.9750340948800004	0.9799605853800011	0.9768042917799994
