	afr_Latn	amh_Ethi	arb_Arab	asm_Beng	bak_Cyrl	bel_Cyrl	ben_Beng	bul_Cyrl	cat_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fin_Latn	fra_Latn	gle_Latn	guj_Gujr	heb_Hebr	hin_Deva	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	isl_Latn	ita_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lat_Latn	lav_Latn	lit_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mlt_Latn	mya_Mymr	nep_Deva	nld_Latn	nno_Latn	nor_Latn	ory_Orya	pan_Guru	pes_Arab	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	san_Deva	sin_Sinh	slk_Latn	slv_Latn	snd_Arab	spa_Latn	sqi_Latn	srp_Cyrl	swe_Latn	swh_Latn	tam_Taml	tat_Cyrl	tel_Telu	tgk_Cyrl	tgl_Latn	tha_Thai	tur_Latn	uig_Arab	ukr_Cyrl	urd_Arab	vie_Latn	zsm_Latn
afr_Latn		0.9198938866199998	0.8353249859200008	0.9200604728599998	0.9067072989800008	0.9456915570199995	0.93264697924	0.9461870671199999	0.9519383038200001	0.950097745639999	0.8906622696200006	0.9016993640199994	0.9362839764999997	0.9589120363200003	0.9590064417600003	0.9300269407200001	0.95244239686	0.9535322296799998	0.9275148516799988	0.9490231063200003	0.9527585956600004	0.9350575748799995	0.9347722538599991	0.8623065294999991	0.9386894520400008	0.9489785681199993	0.9461116607000002	0.9333868328199993	0.9487799684399999	0.9509707572400005	0.9528097556400001	0.928845642959999	0.9275041160800003	0.9370259443600003	0.9371666557200001	0.9047192124799985	0.9368589616600006	0.9321548220200003	0.9200683378000003	0.943949228239999	0.9499085125999995	0.9460689377800005	0.9227130347400001	0.9368211796599999	0.94864723312	0.9150386178400005	0.8825635112000004	0.93139084446	0.9658378088000008	0.958131088380001	0.95825319406	0.9284938142599994	0.9331845374199998	0.9433867613800007	0.9489582897	0.9515235423800005	0.9469063397199999	0.9433689659799993	0.9106967121599999	0.9254364467999989	0.9500169310200011	0.9467510318999994	0.9403105135399997	0.9512054652799994	0.9457104145599997	0.9480981151800005	0.9570534148599988	0.9405339427600004	0.9243729767999996	0.9191232187	0.9244588211400001	0.9227683496199993	0.9433483405400002	0.9171618507999999	0.9365594045999998	0.9300087273199994	0.9446883685200004	0.9329343910799993	0.9379522450799995	0.9493242574400002
amh_Ethi	0.9198938866199998		0.8401643901399986	0.9337176527199997	0.9015710476000001	0.9260361647599994	0.94272081562	0.9204264149400002	0.9179776368000009	0.9229571298199992	0.8930679466000009	0.8919409407999992	0.9128528071600004	0.9163132850999995	0.91916665876	0.9201010221199999	0.9110905616199997	0.9191212750799999	0.9118848487000002	0.9243661208599998	0.9118411659199994	0.9178203058400001	0.9442333856999998	0.8753975346199996	0.9393147234800001	0.9229573174399999	0.9266539425599997	0.93711166784	0.9201027670599999	0.9256469615400011	0.9180028427199997	0.9302599515800005	0.9435376599400008	0.9398912571400004	0.9375640518999998	0.9121718192399992	0.93601587892	0.9337932782600004	0.9216477007999999	0.9234164721799999	0.9280442679799995	0.9272027955999995	0.9438331366400008	0.9428317595599998	0.9247547029199998	0.8911552162599996	0.9049415206599998	0.9406478821600003	0.9203573933799998	0.9154496746400002	0.9174173187800007	0.9440211529800002	0.9413550607800005	0.9379348016199999	0.9213006216800002	0.9170291226599989	0.9154210448999994	0.9211776928200004	0.9303411830000006	0.9454438440599998	0.92250955356	0.9180593696799999	0.94174299342	0.9177835605400004	0.9197680411800001	0.92486056196	0.917924078720001	0.9244525761800005	0.9402862560999994	0.9127909364199998	0.9432420573399984	0.91033245808	0.9242796864400009	0.9106229717199991	0.9287067423400006	0.9406647854599992	0.92324133752	0.9330591684400006	0.9144544191399999	0.9203427580800002
arb_Arab	0.8353249859200008	0.8401643901399986		0.8543808415599995	0.8591924521200005	0.8431591707800002	0.846169978459999	0.8338106675799997	0.8374471774600004	0.8374497801999994	0.8637320223600006	0.8370271531800012	0.8548717696800003	0.8284851945800011	0.8323557034000004	0.85865241044	0.8250650680599995	0.8333484060399999	0.8275638051199998	0.8330725264399994	0.8411380620599996	0.8503065770399993	0.8371033587800004	0.8848077524399995	0.8351723916000002	0.8320957829199999	0.8367678846800007	0.8562353141800004	0.8333636573000001	0.8322350843999998	0.8375385672199998	0.8351058849000005	0.83891875928	0.8519143447199997	0.8358621757799989	0.8533138797799996	0.8349268231400001	0.8266953202599999	0.85317074308	0.8282948779200008	0.8345995064400006	0.8326012317999998	0.8346239417400005	0.8305705653000001	0.8348325330000002	0.8709097172599995	0.8484980964599999	0.8446003114999999	0.8327963488400004	0.8311925304	0.8191486491400003	0.8432042653799994	0.8394577384600003	0.84490660392	0.8414245140200002	0.8325589719999992	0.8430483922800003	0.8330281473200007	0.8487674017599999	0.8393527436400011	0.8393523282200002	0.8324363057199997	0.8506250034600003	0.8311480727200002	0.8431116160199996	0.8335768858800002	0.8248036047399995	0.8414247900400015	0.8387139560599997	0.8527088056400002	0.8387030997400005	0.8673297212000002	0.8454635971399996	0.8448619785400002	0.8207377620400004	0.8460766340199996	0.8402066448000001	0.8583686950200011	0.8371824704399995	0.8304918333800008
asm_Beng	0.9200604728599998	0.9337176527199997	0.8543808415599995		0.9308112999600001	0.9264513423799992	0.9637616234799997	0.9158176746400002	0.9160377662400001	0.9178284911399999	0.9146470344800002	0.8994966064599996	0.9225625537200002	0.9155114690800008	0.9136564273999997	0.9214549540599997	0.9039972932799998	0.9185932807199996	0.9168412616999999	0.9200530417000005	0.9096096202000001	0.9234966876599999	0.9549245864199999	0.8885986314800001	0.9461089287200003	0.9177465873000005	0.92428832014	0.9449377444000004	0.9180120101999999	0.9215807567599995	0.9127640997999996	0.9323680954399994	0.9543938441999991	0.93624141604	0.943214363900001	0.9213969547000005	0.9406930465200001	0.9356708514599991	0.9322601586199996	0.9093353514600004	0.9275315106800007	0.9231479242200008	0.9459705394599998	0.9495743219999997	0.9209725397600008	0.9106763531600002	0.9286028075199996	0.9597839069799999	0.9164178468799997	0.9172538171600004	0.9103604629600002	0.9587904549600001	0.95134887642	0.9319220127399996	0.9154133370800003	0.9098571259600005	0.9127294410599996	0.9139688948000001	0.9476342779600002	0.9525367856199998	0.91746732072	0.9176550912799998	0.9512929267400007	0.9087391123599995	0.9213095595600003	0.9186159354400008	0.9135159230199997	0.9200877643199988	0.9485772978999998	0.938260688940001	0.9511396629600001	0.9329583073600003	0.9283252529599999	0.9194463733199999	0.9226299616599996	0.9496342560599998	0.9216581939000013	0.9418499285200013	0.91688716102	0.9169776761600005
bak_Cyrl	0.9067072989800008	0.9015710476000001	0.8591924521200005	0.9308112999600001		0.91735112962	0.9229660941799999	0.901690622	0.9032808202800006	0.90744480982	0.92195100148	0.8804030652399993	0.9166913613400006	0.9003929790200009	0.8996579018600002	0.9079228908600009	0.8847212300600005	0.90878641692	0.9095446977599994	0.9085679189800006	0.9000706345399991	0.9188232413199997	0.9140398165799993	0.8786490710799999	0.9089730230200008	0.9005387120600005	0.9176558007000007	0.9328822378000006	0.8981632920199999	0.9085989447399997	0.8985687917000001	0.9053478974199999	0.9183457786400013	0.9171050267800004	0.94399783968	0.8895804620600001	0.9417951563599997	0.9068141381600006	0.9053757289600001	0.8936123974799997	0.9134159423199997	0.9104707532000005	0.9073879305000007	0.9130913984200003	0.9048408322400003	0.9189541237800005	0.90205257786	0.9244723100400009	0.9022694175600009	0.9070771982800011	0.8926694160599996	0.9214592331199998	0.9148084362399994	0.9059106751399999	0.9053191445	0.8974930930400002	0.9023743603800012	0.9031681941800007	0.9139829030200001	0.9176773801399999	0.9062656397200003	0.9021530436200002	0.9217363083799995	0.8939555617600004	0.9100404284799997	0.9027742965400002	0.8953096641999999	0.9021964949999995	0.9161063954	0.9729062600800003	0.91645781218	0.9431062080200003	0.9117538145600006	0.890823303800001	0.9133767403199999	0.9397579281800006	0.9089605184000004	0.9128872132400009	0.8973745819399997	0.8976227100399999
bel_Cyrl	0.9456915570199995	0.9260361647599994	0.8431591707800002	0.9264513423799992	0.91735112962		0.9380477946599995	0.9593283495400001	0.9526953175799993	0.9625647104400006	0.8895296821399994	0.9000083887199994	0.9380297505000004	0.9505909948999993	0.9487021674800002	0.9405536755199992	0.9382836107000004	0.9564993620399995	0.92928078128	0.9514967554800006	0.9487152763799998	0.93637763576	0.9366635611000009	0.8735821106600004	0.9387079274800001	0.9598364824399995	0.9499732140400005	0.94656070686	0.9428370460200001	0.9510081657799998	0.9537281162199998	0.9274433887600002	0.9326667794199985	0.9508651119800001	0.9465909612800001	0.907666739380001	0.9463959531800006	0.9303026050799992	0.9222797751400001	0.9488903836000002	0.9616900148200007	0.9614223676399993	0.9267307736800009	0.9394316165200002	0.9612854645400003	0.9176968844999993	0.8850858907400001	0.9352368577199998	0.9485673804599991	0.9494626861999996	0.9494438344399998	0.9330604924399996	0.9343771929600002	0.9411267933000003	0.9640078209999996	0.9500045335600005	0.9492920991000007	0.9655417260600002	0.9194738650599994	0.9302583111599996	0.9619647752400001	0.9566775332400004	0.9373824277800002	0.9496120489399996	0.9511079277999991	0.96370974318	0.9474399329399995	0.9409899359999998	0.92937772936	0.9291877664800006	0.9298575637999995	0.9292479436200007	0.94005375082	0.9180356475800004	0.9365457641599995	0.9347114598800009	0.9709672015000005	0.9299067325999999	0.9365590452599997	0.94205030246
ben_Beng	0.93264697924	0.94272081562	0.846169978459999	0.9637616234799997	0.9229660941799999	0.9380477946599995		0.9330586184800007	0.9290479691200006	0.9338397949199988	0.9005249828399995	0.9100844544400001	0.9213156294600006	0.9312308235000003	0.9320808628400001	0.9278904562000003	0.9263010183800002	0.9292035811799995	0.9216866919600007	0.9362259565200007	0.9274018166000007	0.9236494884199997	0.9640243296599987	0.8827420698600003	0.9610365865200001	0.9319130443000004	0.9392307103	0.9475414983000001	0.9374647231799996	0.930513775700001	0.9289473878599998	0.9463567007199998	0.9619114196599994	0.9468116197200004	0.95337374524	0.9253347437800001	0.94949018366	0.9499331994200004	0.936975255180001	0.9231631881800003	0.9379478580999996	0.9358889600799999	0.9556156025999996	0.9601153469600001	0.9350253661600005	0.8988882278200007	0.9201495927800001	0.9629961911400007	0.9324063149800002	0.9292670333800003	0.9293969072999998	0.9657871871199997	0.9603545736200003	0.9484199591400001	0.9319920759599993	0.9292774471599998	0.9266886350800003	0.9351753102800007	0.9424355368399999	0.9598167043400002	0.9330435648800003	0.9286245681999998	0.9562702054399989	0.9283385027400004	0.9308944201999997	0.9349281495799994	0.9305027055600005	0.9298868157199995	0.9572271607600003	0.9332262475000008	0.9577595232199994	0.9235031518199996	0.93428695132	0.9293473086400004	0.9413727202799996	0.9559719831800009	0.9361946600800005	0.9521159220399992	0.9346789669600009	0.9373383357400001
bul_Cyrl	0.9461870671199999	0.9204264149400002	0.8338106675799997	0.9158176746400002	0.901690622	0.9593283495400001	0.9330586184800007		0.9552100526800001	0.9579125685400003	0.8755781768199992	0.9000052706400011	0.9267414750000008	0.9540789556599991	0.95028899744	0.93929623428	0.9496868845599999	0.9522840437800004	0.9177740147199995	0.9487954153400011	0.9544023973800004	0.92188184554	0.9333126645600002	0.8619737228800005	0.9413133819400002	0.9584617362200002	0.9490153010399999	0.9372124450999998	0.9482931168000008	0.9438424799200006	0.9582313683400001	0.9282204332999998	0.9285145661400002	0.9449141326399997	0.9403227754400002	0.9029465846400005	0.9391357261	0.9310996121999996	0.9192146016400005	0.9431299509400005	0.9550536753599999	0.9524622448599995	0.9235474963399998	0.9340459956399997	0.9706332547	0.9032770891	0.8739562548999998	0.9300186725399995	0.9513630900399997	0.9492315321199994	0.9561298417600006	0.9271654594200006	0.9317505104999999	0.9447225745800003	0.9590807003200003	0.9581081650199998	0.9580018502799997	0.9620203119600007	0.9050474019199992	0.9259193951800008	0.9583799700999998	0.9527841933600002	0.9307809559399995	0.9578074458999997	0.9528930394599995	0.9655088146599995	0.9546247872599996	0.9414824407399999	0.9262506124199997	0.9165898384000007	0.9242947090800009	0.91767980508	0.9373749278799995	0.9169782394600009	0.9386879561799998	0.9295028552000002	0.9603035314800001	0.9299317215600003	0.9391679832000003	0.9469724329600014
cat_Latn	0.9519383038200001	0.9179776368000009	0.8374471774600004	0.9160377662400001	0.9032808202800006	0.9526953175799993	0.9290479691200006	0.9552100526800001		0.9568082609200004	0.8827045325799988	0.8965168740600009	0.9396276701000003	0.9564451471999993	0.9516825862999995	0.9420090820199997	0.9529914988000008	0.9579435062000001	0.9314344411199998	0.9485963411599994	0.9661681055600001	0.9356627619400006	0.9311483533400009	0.86544749846	0.9353773845799999	0.9571062508999993	0.9494851219799996	0.9352439377000001	0.94789461332	0.94846766314	0.9680376837600004	0.9240274885399993	0.9245876507400008	0.9383765115999998	0.9353623949599988	0.9025133193599995	0.9359734199199999	0.9268264169000009	0.9172966723999998	0.9515150879200006	0.9543508384800007	0.9517930345399996	0.9189853912000003	0.9308944017600012	0.9573360774200009	0.9202947036999996	0.8741065540600007	0.9271339989999994	0.9557014356200009	0.9535452919400007	0.9558724420399994	0.92367997618	0.9299131937000003	0.9425709663600003	0.9566518399400005	0.9674193332600011	0.9596729122400004	0.9501329990799992	0.9066167658000002	0.9230921136600009	0.956903565719999	0.9530919708399995	0.9310467142400001	0.9694245313999998	0.95554459182	0.9554911104999996	0.9564948599999998	0.9444794084800002	0.9227055782200002	0.9171829818200005	0.9227564242200008	0.9201922120599997	0.9454425567200003	0.9145211116799997	0.9378550798999991	0.9251481048199994	0.9524627823799995	0.9266264470200015	0.9389222321000001	0.94738047338
ces_Latn	0.950097745639999	0.9229571298199992	0.8374497801999994	0.9178284911399999	0.90744480982	0.9625647104400006	0.9338397949199988	0.9579125685400003	0.9568082609200004		0.8838643472799996	0.8989409339999999	0.9341746697200001	0.95450953262	0.9552485116200005	0.9389894239200006	0.9462510888200001	0.9548870347599993	0.9250990326000001	0.95380622766	0.9541758007199995	0.9326379356399995	0.9351729529799995	0.8665063571000008	0.9393280881000002	0.9650246010999997	0.9524354538000008	0.9365607588000003	0.9463986930400005	0.950202743440001	0.9569551469400003	0.9292220703000005	0.9277059119599997	0.9453719658000013	0.9399713535800006	0.9012266797799998	0.9383284259	0.9321455636600011	0.9166694947199996	0.9500995556799982	0.9593201039799993	0.9589207877599999	0.9245329191800012	0.9368730502200002	0.9594855833799998	0.9103332490600002	0.8766414432399993	0.9301663863800007	0.954950968320001	0.9517450606600008	0.9549420399200004	0.9289041011400001	0.9324319033200001	0.9438744118200005	0.966964945020001	0.9557695649400002	0.9539414328599995	0.9590046900400007	0.9102705226000004	0.9279099260999996	0.9720270185	0.9617099177399994	0.9347162847400005	0.9562549202399997	0.9502823167799996	0.9635779985200003	0.9536220208399999	0.9428459900399996	0.9280159865000004	0.9202578425	0.9275787052000003	0.9193785249599997	0.9394966869200003	0.9160410099800002	0.9411782337599999	0.9301102757799994	0.96091502722	0.9293524265199999	0.9383779554200002	0.94615475554
