	afr_Latn	amh_Ethi	arb_Arab	asm_Beng	azj_Latn	bak_Cyrl	bel_Cyrl	ben_Beng	bul_Cyrl	cat_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ekk_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fin_Latn	fra_Latn	gle_Latn	glg_Latn	guj_Gujr	heb_Hebr	hin_Deva	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	isl_Latn	ita_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lit_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mlt_Latn	mya_Mymr	nld_Latn	nno_Latn	ory_Orya	pan_Guru	pes_Arab	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	san_Deva	sin_Sinh	slk_Latn	slv_Latn	snd_Arab	spa_Latn	srp_Cyrl	swe_Latn	swh_Latn	tam_Taml	tat_Cyrl	tel_Telu	tgk_Cyrl	tgl_Latn	tha_Thai	tur_Latn	uig_Arab	ukr_Cyrl	urd_Arab	uzn_Latn	vie_Latn	ydd_Hebr	zsm_Latn
afr_Latn		0.9272778038800003	0.9350619023	0.9151706035399992	0.9409058046399996	0.910463043200001	0.9427486188399993	0.9310406954799997	0.94549735446	0.9541745389200004	0.94997205416	0.8830413287799997	0.92599258444	0.9412702079599993	0.9630912684000004	0.9590977885199989	0.9521688449199998	0.9420281991000005	0.9559441289	0.9579515751799995	0.9460463943799992	0.9475302637199995	0.9498701321000003	0.9403467735800003	0.9541411749000004	0.9327717377800012	0.9411858973599996	0.9356485178799994	0.9494195689	0.9456523756600005	0.9405079433999989	0.9477895461400007	0.9533361975399995	0.9520737005400004	0.9261245988599995	0.9292490452999991	0.9369049988200004	0.9391606392800004	0.9220989694199997	0.9367862789799994	0.93268794546	0.9261090544399999	0.9460002653999995	0.92744853888	0.9372695775000008	0.9505670353600004	0.91614308074	0.9059772754200006	0.9675722078400001	0.9623537338799992	0.9272486611599996	0.9334227453999998	0.9404017354599993	0.9450682751800005	0.9533840932000003	0.9501857348799996	0.9402349731800006	0.9254159758399999	0.9276259854000005	0.9512928805399995	0.9504565396399999	0.9391476232200001	0.9509081243200004	0.9487512681799999	0.9610618747000005	0.9427219162399993	0.9285742128599994	0.9233694131	0.9289937355400002	0.9100634897600004	0.9465856830399991	0.9263674708200009	0.9416645143799992	0.9278253032200001	0.9437229976800002	0.93954738384	0.9389733682599991	0.9377562727800006	0.9443381719799993	0.9474259696599996
amh_Ethi	0.9272778038800003		0.9375608583400011	0.9409969297000002	0.9401861607399999	0.9147795946200004	0.9310234451999989	0.9498419660199998	0.9244675340799997	0.9218213980999997	0.9257850039000008	0.8975272829200001	0.9276058706000007	0.9253843302799998	0.9210246009799989	0.9200449821000002	0.9305103445399993	0.9349962716800007	0.9162726267999999	0.9264148813200005	0.9361585163000004	0.9292658042800004	0.9147780375399991	0.9282932703199993	0.9227261051400003	0.9528368046800005	0.9405109876399994	0.9438462712800002	0.9254248989200001	0.9306199453799993	0.9496574839799998	0.92414586346	0.9314852734000001	0.9207111366800008	0.9343851629199998	0.9527150572799999	0.9499442874999998	0.9440019221199989	0.9371091629799995	0.9431224833600004	0.9388203776999993	0.93585566748	0.9324473305799998	0.9529576912000001	0.9500643953999994	0.9309676556999993	0.8992818978199996	0.9428398799400005	0.9237368681800001	0.9218292012999997	0.95381455358	0.9527448746000008	0.9367559993199994	0.9223579629400008	0.9213175884800003	0.92050223602	0.9240953321400002	0.94510606614	0.9541968614999998	0.9271408243000006	0.9232259666200001	0.9502760858400002	0.9199216422600004	0.9297594004599994	0.9227132589399993	0.9305807579000005	0.9502812535199994	0.9251819862000005	0.9529559529599996	0.9084608868200006	0.9297961150200005	0.9300748396999999	0.9353320865800007	0.9494791036800002	0.9286801033599995	0.9465279480600004	0.9395605369200003	0.9204381267399999	0.9377211272399995	0.9246057423599997
arb_Arab	0.9350619023	0.9375608583400011		0.9148658500999997	0.93373929748	0.89473695766	0.9397401931400003	0.9361625627400003	0.9449405893400006	0.9427847726999999	0.9401053846199996	0.8817434167600008	0.9379318458000003	0.9384092408199999	0.9403441866800015	0.9365591179599999	0.9332134172799988	0.9450289531200001	0.9408965388800006	0.9370813545799996	0.9312088592600004	0.9369498960000006	0.9423407909599998	0.93265836078	0.9460063466200006	0.93586280786	0.9593245506600006	0.9396599139799999	0.9404589567599995	0.9370592595999998	0.9404598646799995	0.9471994266200007	0.9375112510400004	0.9455484621000004	0.9320155197400003	0.9366581970599998	0.9417237068599995	0.93569923332	0.9375393549600003	0.9312256295799992	0.93622611384	0.9402439775999992	0.9350684037800003	0.9344759427199999	0.9392000042000004	0.9452426065199995	0.9022481944799995	0.9157122245	0.9378427258999986	0.9363469795600006	0.9320577048200015	0.9340260523999999	0.9547620436199996	0.9415708446999993	0.9488359344799996	0.9440656148399996	0.9446268459400012	0.9265442121600007	0.937121026119999	0.9422795910999998	0.9393355688200007	0.9400581362399992	0.9461715457400002	0.9441064200999997	0.94250275952	0.9419124683799994	0.9350855764200002	0.9085694605000001	0.9337912219799993	0.8975679586200006	0.9351349090200002	0.9424587986599994	0.936024103460001	0.9323085354999998	0.9442940041200005	0.9427085860999995	0.9261782157800005	0.9428693384399989	0.9272519837399998	0.94636506858
asm_Beng	0.9151706035399992	0.9409969297000002	0.9148658500999997		0.9266349797600005	0.9335019237800007	0.9239079616800003	0.9577398996199995	0.9077201812399986	0.9080360861399998	0.9076356500999996	0.9113644650799996	0.9090365387799999	0.9214539977600008	0.9048190134400002	0.9004846637799999	0.9205543600799991	0.9159732811200002	0.8960300816799998	0.9135025771000006	0.9246379179399999	0.9128948924400002	0.8987324233199995	0.92361096098	0.9019701081000011	0.9534876083799994	0.9190521483799996	0.9397770843400012	0.9091515213999996	0.9142167024800011	0.9377215232400002	0.9057048991199999	0.9155255542399997	0.9019764533399999	0.9204083351999993	0.9491883545200005	0.9345372643999995	0.930881267639999	0.9291621757199994	0.9321200570800005	0.9286355247199992	0.9253320489600008	0.9153318820200002	0.9467540592200006	0.945357818020001	0.9154857391800009	0.9096154529799997	0.9452729448199996	0.9055732927600006	0.9101035879400008	0.9560190619599999	0.9548439298799996	0.9163080086199993	0.9030887878799988	0.9000298075799994	0.9045267449399993	0.9052290642399998	0.9485631014400011	0.9465010062399998	0.9091770895800001	0.9082193982800003	0.9470351819999997	0.8995163633400003	0.9143375870799998	0.9057823673999998	0.9159517768600004	0.9441134789200012	0.9378655298999999	0.9476140865000001	0.9249931670800003	0.9250604507400004	0.91301469866	0.9165664367999995	0.9439527166799995	0.91421677888	0.9389551520799994	0.9388471152200003	0.9077422762799994	0.9390235215200002	0.9072323445399999
azj_Latn	0.9409058046399996	0.9401861607399999	0.93373929748	0.9266349797600005		0.9286276672799992	0.9430612225399997	0.9488974677000004	0.9441922058000002	0.93825501402	0.9443161544599998	0.8812637017599997	0.9384168637199995	0.9262182002200006	0.9424990597799995	0.9403321905999995	0.9471154532199998	0.9373269452000008	0.9384054982399995	0.9426818621600005	0.9506963022200002	0.947297899679999	0.9341810447400006	0.9264791968200001	0.942126131159999	0.9463088635599995	0.9391376833399995	0.9484995973800006	0.9428124290199996	0.9519111623400001	0.9562404615199999	0.9454825939599995	0.9380797140199992	0.9402872442400003	0.9439458957999993	0.9488489256999997	0.9507803495000001	0.9661845099199999	0.9236380907399996	0.9641497184800006	0.9497933309800004	0.9303334052200001	0.9475129616000009	0.9462820282599995	0.95124677572	0.9463009696399998	0.8936267707199986	0.9245271520800002	0.9407643817399997	0.9407539077200004	0.9445038832199997	0.9440555260999988	0.9477548153999996	0.94118763342	0.9427560488600008	0.9406485225000004	0.9447615826400009	0.9319399761999992	0.9508326966600006	0.9452093324800005	0.9413609380800001	0.9482631868000002	0.9406259090399999	0.9445977152799999	0.944254604239999	0.9352528574800002	0.9508216470200002	0.9419328102000005	0.9477257020399997	0.9082808985999999	0.9326705293199997	0.9307459696800002	0.9685463200000001	0.956974720440001	0.9453619982999999	0.9501817485200001	0.95978732464	0.938403014279999	0.9240106759200001	0.9450064240399999
bak_Cyrl	0.910463043200001	0.9147795946200004	0.89473695766	0.9335019237800007	0.9286276672799992		0.9224822331800002	0.9216292776399988	0.9020449038999994	0.9027421940200007	0.9036884320599997	0.9228224652599991	0.8862763139200018	0.9174142485399992	0.8947728507999994	0.8939194307800001	0.9135916615600003	0.9036204927200009	0.8869957178999985	0.9108360668800004	0.9192498510000002	0.9088454485599993	0.8956670872999992	0.9217457742800008	0.8965849908600002	0.91954586596	0.8987316161599996	0.9108282042600008	0.8987837866400005	0.9134908490399996	0.9246131242399998	0.8925560689800005	0.9102837616199994	0.8941422623800003	0.8994138112399995	0.9193072242600004	0.9181462862399992	0.9341006253399994	0.9006156358400006	0.9365451407000001	0.9073983925400008	0.9031259096399992	0.9103631490200002	0.9175177511999996	0.9158833747600005	0.9076466436200005	0.9183561468400006	0.91386103552	0.8983770724799998	0.9056413615399991	0.9224504770399996	0.9249593306799994	0.8983478919999998	0.8995141428599996	0.8942947480399994	0.8996753591199995	0.9035371623800004	0.9159775407000009	0.9172319616199992	0.9048962951200008	0.9001502196200009	0.9203358561800001	0.8933425457000002	0.9068673799799999	0.8955257845200003	0.9047816507999993	0.9182593022800003	0.9728518308799985	0.9181953207800003	0.9431089652200001	0.916943674460001	0.8856746155600003	0.91359836902	0.9379839118799997	0.9081404592599995	0.9136733174799996	0.9411056317600008	0.8946016953599992	0.9194811723800003	0.8958323374599997
bel_Cyrl	0.9427486188399993	0.9310234451999989	0.9397401931400003	0.9239079616800003	0.9430612225399997	0.9224822331800002		0.9373618844799989	0.9565610660600006	0.9480785622400004	0.9567660049800001	0.8836581829200002	0.9252700236599999	0.9371411507400002	0.9440703419000002	0.9409770306000007	0.9493048474200003	0.9510140712799998	0.9370619376400008	0.9512943912599996	0.9385957239199987	0.9464230024400001	0.9429009626399998	0.9350181786800005	0.9475111990400007	0.9377747017999999	0.9471800000199996	0.9346994417400004	0.9532615591800004	0.9435034636400006	0.95377166826	0.9392564272200004	0.9449205385799997	0.9487343510000008	0.9263027049600008	0.937323147740001	0.9507454069999998	0.9475285919199992	0.930189862360001	0.9458725466399994	0.9317311478599996	0.9318020557200003	0.95534085054	0.9331160217799997	0.9381465214400002	0.9580658288599999	0.9146056762199998	0.9141852646200007	0.9432432645800003	0.9430901479600002	0.9341330143800008	0.9372623106000001	0.9360026028600004	0.9580960980000004	0.9477011530000005	0.9467445403999997	0.9647797453999996	0.9277343465799991	0.9339706423799989	0.9583363730999995	0.9546314339199996	0.93615636718	0.9458430290799997	0.960389130500001	0.9442128110999989	0.9374560810599997	0.9341123168599997	0.9342798062600005	0.93338207212	0.9162719244400002	0.9392780486199994	0.9284376063000007	0.9357757507400003	0.9366724257400006	0.9696413616399996	0.9359612504399992	0.9400071347999999	0.9347828906799998	0.9393964313200006	0.9376803941400008
ben_Beng	0.9310406954799997	0.9498419660199998	0.9361625627400003	0.9577398996199995	0.9488974677000004	0.9216292776399988	0.9373618844799989		0.9335860791800015	0.9266906777599997	0.9317515063600009	0.8897857631800008	0.9394443567799996	0.9240859552999994	0.9318576708799998	0.9289806526000003	0.93630402096	0.9368700342200001	0.9270989605200002	0.9281117606599988	0.9389981506399991	0.9359166544800002	0.9243171678000008	0.9235307150600002	0.9272028658400006	0.9671903390600001	0.9412904082999999	0.9639506555999999	0.9303417632799997	0.9385998167800004	0.9565796805200006	0.9360652361000004	0.9275168774799997	0.9274590916800005	0.9468565344400001	0.9648817708399995	0.9534322448	0.9524953507999995	0.9404790980799997	0.9489434604800003	0.9537789278600004	0.9411885003599995	0.93436186644	0.9630550923999994	0.964058815520001	0.9359411526800002	0.8920735217000002	0.9454288640399996	0.9311755626599989	0.9282169334000001	0.9682547642199996	0.9650766318400008	0.9455985138199999	0.9283696033199992	0.9295510818999997	0.9266952501000004	0.93612026756	0.9499388788599992	0.9636781156000004	0.932491438159999	0.9287254216	0.9582907428799992	0.9270748533199994	0.9358163881800007	0.9325167627199987	0.9296664378399995	0.9628165719799999	0.9321870682599996	0.9616031420800004	0.9059830438199987	0.9326260465000004	0.9393228144600002	0.9461595182	0.9539784124599999	0.9384242689800006	0.9596649317800008	0.9435595942999999	0.9354023256800011	0.9353063715199998	0.9351041967200001
bul_Cyrl	0.94549735446	0.9244675340799997	0.9449405893400006	0.9077201812399986	0.9441922058000002	0.9020449038999994	0.9565610660600006	0.9335860791800015		0.9554250754000004	0.9580832386000009	0.863289503699999	0.9333357615599994	0.9281746219799992	0.9585575389000007	0.9500985092199998	0.94450029514	0.9571095089000001	0.9539035238999988	0.9522445362800002	0.9362534187199996	0.9460476178199994	0.9540099775000003	0.9210665776600002	0.9574914734200008	0.9326098868800002	0.9512467761599993	0.94036662988	0.9586708752999994	0.9484419739400005	0.9540081401600002	0.9503297461599998	0.9412089682399994	0.9599303568599996	0.9317714674999997	0.9330680286000008	0.9483924974800003	0.9471370202400001	0.9243822086000005	0.9429527798800008	0.93675112424	0.9296590982599996	0.9509581067999995	0.9289586624399994	0.934632201640001	0.9759774580799996	0.8977960360399995	0.9032725715400007	0.952547248459999	0.9504775677	0.9262789732600004	0.9319714207800002	0.9456955468999999	0.9575805316399997	0.9616957413799991	0.9631304282400013	0.9659246698800006	0.9176654768399995	0.9317398336600003	0.9606885895400001	0.9594211744000002	0.9297746875599999	0.9590204037199997	0.9666671897000001	0.9581853880800004	0.9397371240800002	0.9332285833799995	0.9184379958799995	0.9291171480599997	0.8995481797799995	0.9368738839200002	0.9350593455799995	0.9439318063600003	0.9283169753600007	0.9653520456399994	0.93954852208	0.9322654889199999	0.9438005955199993	0.9278897812000001	0.9455778305399999
cat_Latn	0.9541745389200004	0.9218213980999997	0.9427847726999999	0.9080360861399998	0.93825501402	0.9027421940200007	0.9480785622400004	0.9266906777599997	0.9554250754000004		0.955809234360001	0.8711227469200002	0.9250991901800004	0.9428215686399991	0.9589262630599986	0.95133971058	0.9456078182800002	0.9560779678800001	0.9594123619200003	0.95912124092	0.9471364994600009	0.9457798775799997	0.9697093309799999	0.9357407038200005	0.9758221137399995	0.9286295688399995	0.94975358234	0.9326947767400007	0.95487693486	0.9482932409800005	0.9429803684799997	0.9509830422200004	0.9442381183600004	0.972333005419999	0.9249911004799997	0.9265424275399997	0.9367268312999999	0.9349746422999993	0.92303956432	0.9323789465599995	0.9295653358400002	0.9275574100799991	0.9481306341799998	0.9234198289400006	0.9288873574800001	0.9575195840799996	0.9180483906999998	0.9008260649999994	0.9566961326800003	0.9543320695199999	0.9210730253600002	0.9290528470199996	0.9408906838400004	0.9540912516599996	0.973532237200001	0.96602637586	0.9499102681199992	0.9161703927199997	0.9255675806799992	0.9580274762999992	0.9543990838	0.9303787583799995	0.9750834835199998	0.9532032971800001	0.959098867580001	0.9454436205000007	0.9264362609599999	0.9163114482000003	0.9253426246200002	0.9024953673400006	0.9463610106399994	0.9284781080199989	0.9410602741800007	0.9206554596800005	0.9532207119200006	0.9345515876599997	0.9350418454600004	0.9435127512799997	0.9310352546199999	0.9482235331400005
