	afr_Latn	amh_Ethi	arb_Arab	asm_Beng	bel_Cyrl	ben_Beng	bre_Latn	bul_Cyrl	cat_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fin_Latn	fra_Latn	fry_Latn	gla_Latn	gle_Latn	guj_Gujr	hau_Latn	heb_Hebr	hin_Deva	hin_Latn	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	isl_Latn	ita_Latn	jav_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lat_Latn	lav_Latn	lit_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mya_Mymr	nep_Deva	nld_Latn	nor_Latn	ory_Orya	pan_Guru	pes_Arab	plt_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	san_Deva	sin_Sinh	slk_Latn	slv_Latn	snd_Arab	som_Latn	spa_Latn	sqi_Latn	srp_Cyrl	sun_Latn	swe_Latn	swh_Latn	tam_Latn	tam_Taml	tel_Telu	tgl_Latn	tha_Thai	tur_Latn	uig_Arab	ukr_Cyrl	urd_Arab	urd_Latn	vie_Latn	xho_Latn	zsm_Latn
afr_Latn		0.9411082075999998	0.8909858182200001	0.9502542010199995	0.9683773969799991	0.9563797595399993	0.9513367448599994	0.9691709711999997	0.9717746484600003	0.9711631334599995	0.9311010564200006	0.9400200566000007	0.9643310612199995	0.9753262344599994	0.9767632068399997	0.9576856710199998	0.9733679009600001	0.9712764133800001	0.95920892232	0.9691178465600002	0.9731276004599997	0.9699640907199998	0.9583605213000002	0.9626209171000003	0.9569797274200004	0.9584027109800005	0.9184144912200001	0.9632846329199996	0.9507858396400003	0.9705023302600003	0.9690350100400003	0.9600630661800005	0.9697418818	0.9709955759600002	0.9713520907399992	0.9574456032399992	0.9526237188200001	0.9520979051199995	0.9616181606599996	0.9628998506800002	0.9342196251800003	0.9630005938599997	0.9543585504999998	0.9401583819999997	0.9648901394800012	0.9712100602599988	0.9692000540999995	0.9464710145400008	0.9602244621000006	0.9704633832400005	0.9236364207199994	0.9563250073800004	0.9796014047599991	0.9739309536799997	0.9510148465199999	0.9552709108799995	0.9654696716799993	0.9558982045999996	0.9702705424199998	0.9706578262400003	0.9698213757000004	0.96731129264	0.9347101304399997	0.9507206998400002	0.9700764477199997	0.9697726114199995	0.9599858325799998	0.95714309322	0.9715789837000002	0.9688776155599994	0.9695101379200003	0.9596690971799992	0.9743163791199997	0.9640408390400004	0.9386413219200003	0.9505181452599996	0.9513509130399999	0.9678447659400007	0.9479557554399994	0.9617309532400004	0.9525519336199999	0.9678242049400003	0.9535675062000002	0.9430157627400001	0.964381245440001	0.9438231240200001	0.9704038795399997
amh_Ethi	0.9411082075999998		0.8896725815400003	0.9522541489599994	0.9455991457399996	0.9588249086200006	0.9243950462600007	0.9455393331200004	0.9402307024600003	0.9441458840200005	0.9336063488600004	0.9311089896800006	0.9393217575400002	0.93902187898	0.9415870560400009	0.9454752385999988	0.9391939372399999	0.9420573672000008	0.9427085892399998	0.9454850807000006	0.9381535240199994	0.9349540941799999	0.9364160257399995	0.9429413230800001	0.9602557690199998	0.9412414369199995	0.9202537150999996	0.9583657682999994	0.9321290180400003	0.9435444471000001	0.9449365716199993	0.9567542585200001	0.9443116462800017	0.9457080071599995	0.9405763019000009	0.9362667139199999	0.9542877976799996	0.9590200717000003	0.9566242945399996	0.9557568015799995	0.9416932705199985	0.9552705778800002	0.9533588911999993	0.9465961113399995	0.9462014205199997	0.9478037864400002	0.9474808945399997	0.9596231005000008	0.9579207726600005	0.9469606569399996	0.9373331819399998	0.9582361270199999	0.9419206974600001	0.9395223447000002	0.960510940519999	0.9597609788000001	0.9551514266000004	0.9394243018199995	0.9440170270599989	0.9409907223799987	0.94095183262	0.9463204500400004	0.946593767199999	0.9604828388400004	0.9438790686599997	0.9418899347400002	0.9572243842600001	0.9480351417999995	0.9421208436199995	0.9429792319800004	0.9460855164800006	0.9370143550999995	0.9401715037400001	0.9493666640799996	0.9261766362599999	0.9574882681199993	0.959837708839999	0.9454289274599998	0.9431808498600003	0.95085081746	0.9568053936600002	0.9456931560000014	0.95180636532	0.9295652286199991	0.9424400553200007	0.9319758619999994	0.9447970881999994
arb_Arab	0.8909858182200001	0.8896725815400003		0.9082963472800006	0.8977157827400007	0.900204921540001	0.8925070814800007	0.8925806351999999	0.8912950319399998	0.8926714956999997	0.9175630313	0.890307007999999	0.9032219775199988	0.8879133397399996	0.8906908061600012	0.9050565970400015	0.8833697401600012	0.8887264217000003	0.8966742366199999	0.8881564635799991	0.8936534618000003	0.9004019808600002	0.9051724500799982	0.9016484566600006	0.8918843873000002	0.8991321215000005	0.9261792288199999	0.8958854756999998	0.8922863420000003	0.8870643534000001	0.8905346470400003	0.9060697719999997	0.8907251760199996	0.89132364322	0.8923138439800007	0.8958165803600001	0.8918598453	0.8918163327199999	0.8992547478999998	0.8947704708799997	0.9017525370599998	0.8944673522200001	0.8843589083199994	0.8961963167799999	0.8863112378199999	0.8915779493999996	0.8912311426999994	0.8857737724399998	0.8899367754800008	0.8929424291399998	0.8950998386800006	0.9038061540199994	0.8884502575999996	0.8807359446599999	0.8945791044600006	0.8921346696400007	0.9023480606599988	0.896284569540001	0.8939872745999996	0.8887082078600003	0.8957717762599997	0.8918088679000002	0.8981861106399998	0.8929503154799995	0.8931899136199998	0.8888883716599992	0.9071002414999993	0.8959295395400007	0.8893912133399986	0.8977987389000001	0.8892900086000003	0.8979176253399996	0.8840572810400003	0.8991601618399996	0.8932981336000003	0.8929650046000006	0.89034631174	0.8976106907199994	0.8997218430199994	0.8830473763000007	0.8987903632999996	0.8954253441000006	0.9137607489600003	0.9059628708999998	0.894082538040001	0.8949172089000001	0.8896599050799999
asm_Beng	0.9502542010199995	0.9522541489599994	0.9082963472800006		0.9534556976599998	0.9763439212600009	0.9423418694599996	0.9488559045799991	0.9471615527600009	0.9498151194999993	0.9497069646	0.9375052893799997	0.95383590322	0.9459827347799998	0.9465548806399998	0.9529934607799988	0.9408582412800001	0.9488297312599998	0.95365833654	0.94995111384	0.9453962113799994	0.95179776996	0.9530149565599991	0.9544429570799995	0.9693830193199995	0.9506936236599995	0.9354816142800009	0.9659838452799997	0.9536679091400007	0.9478073579400003	0.9512667017600003	0.9667450484800005	0.9477138407599994	0.9516205123400001	0.9462112508400002	0.9506916873999997	0.9549951402999997	0.9680581903800002	0.9613891179399989	0.9634476650600008	0.9498383500799997	0.9619957171799999	0.9560234344	0.9530594283999994	0.9448668763599999	0.9543257869200006	0.9526137071399993	0.9604992567600005	0.9656859020199998	0.9514236310599995	0.951026967140001	0.9714669389599998	0.94768050316	0.9414425774799999	0.9712118610199999	0.9669824589799996	0.9555304333199998	0.9487565175800003	0.9490326465599994	0.9441924658800004	0.94723514292	0.9479859316799999	0.9583463683600002	0.9648677259399998	0.9486570066799999	0.9484153595199998	0.9687251967199997	0.9529177214800004	0.94443224682	0.9525443075600001	0.9490544177599992	0.9530603201000003	0.9441380224800004	0.9539500254800002	0.9494275898599992	0.96466450062	0.9660431740399995	0.9543085276399997	0.9500617172800013	0.9514700049599992	0.9667144781799998	0.9508162934600002	0.9617802539400003	0.9519597793999994	0.94823909142	0.9420920885199998	0.9476476756599995
bel_Cyrl	0.9683773969799991	0.9455991457399996	0.8977157827400007	0.9534556976599998		0.9586265206999992	0.9495545856599998	0.9777528124199995	0.97271151388	0.9795994956600007	0.9357448030599991	0.94214833572	0.9633008023599999	0.971307928	0.9713803113600004	0.9645799727800001	0.9654243932000002	0.9722626273999989	0.9613548197000003	0.9718932364999999	0.9714738007799993	0.9649147631400002	0.95765526724	0.9627240511399997	0.9588450609199992	0.9583053329600002	0.92534827594	0.9644584346200007	0.9488016465600003	0.9782930639799996	0.9711683322799999	0.9663724527800014	0.9667290205200002	0.9714828942199989	0.97274112946	0.9550832323600005	0.9538499044000002	0.9545229291999989	0.9699749843000004	0.9672793123999998	0.9367905920399997	0.9683392840999999	0.9545719135399997	0.9418035030799997	0.9683728398199993	0.9779877003000005	0.97802988246	0.9495508006000006	0.9618263957999992	0.9784699053800003	0.9240629024399998	0.9588277601999996	0.9704735675600009	0.9698777488399997	0.9533438805200003	0.9566708840400002	0.96539814212	0.9558845668200001	0.9807457359999998	0.9710762677800006	0.9727289772	0.9811157284399994	0.9385629728599999	0.9523733314999997	0.9785352070799986	0.9764355821199999	0.95976858854	0.9568778304400006	0.9718025028999999	0.9724006320400008	0.98018082736	0.9570224955599995	0.9695933934999994	0.9658441536800005	0.9376573765399991	0.9526146463400005	0.9545697039200001	0.9657402814399991	0.9502510992400002	0.9621808164999992	0.9547451775400002	0.9833176280800001	0.9533609538000002	0.9439979637800006	0.96319883902	0.9471185581600001	0.9668359550600003
ben_Beng	0.9563797595399993	0.9588249086200006	0.900204921540001	0.9763439212600009	0.9586265206999992		0.9364941074400004	0.9576177407200006	0.9529542429799999	0.9564859031199997	0.94514427898	0.9431906294600002	0.9522885562200005	0.9538427021199988	0.9553570036599999	0.9566631340199995	0.9531359660800003	0.9528382450800009	0.9544734454000001	0.9582649192800003	0.9530182743000003	0.9498040696600007	0.9481763284000001	0.9535147785999998	0.9756997417200005	0.9502771260600001	0.931110463519999	0.9751186611599993	0.9506836160800002	0.9547968587999999	0.9597472364	0.9694500527800003	0.9586488973599991	0.9557904817600003	0.95269809884	0.9493183542000001	0.9652985123999998	0.9742261290399994	0.9673271203600008	0.9698875376599999	0.9528789332999996	0.9674298544999995	0.9665907233199998	0.9558402612800002	0.9513110772799995	0.9599677003399999	0.9590204085199996	0.9686688016200006	0.9722271359000001	0.9581912108599999	0.9494845479599998	0.9743959143999998	0.95536872482	0.9514772431600012	0.976224600940001	0.9731083534199991	0.9655335285200004	0.9469580342199996	0.9566810649999999	0.9531254919599996	0.9537751935400006	0.9578993862599994	0.9554135747	0.9714865353600001	0.95534663686	0.9533281500399997	0.9699558952600005	0.9531181590800002	0.9534060405399992	0.9560824767400005	0.9566101593999998	0.9517728766599991	0.95325908866	0.9568925694999996	0.9414422443999996	0.9721024820600006	0.9722200534400002	0.9587356636600003	0.9561989993999996	0.9610894941200001	0.9697571172999997	0.9581889932599992	0.9662275156599998	0.9459813850599997	0.9585510274	0.9366382071999996	0.9586961245000007
bre_Latn	0.9513367448599994	0.9243950462600007	0.8925070814800007	0.9423418694599996	0.9495545856599998	0.9364941074400004		0.9442171170799997	0.9542773809200005	0.9495235792600002	0.9358423384999994	0.91652665268	0.9674599237800006	0.9494404699400001	0.9479040142800002	0.9443584009999995	0.9400767436799998	0.95487843602	0.95686120396	0.945214255500001	0.9524610131599994	0.9632839203200005	0.9671334891399996	0.9653088885600003	0.9336212584599999	0.9593159482799997	0.9209926980799995	0.9377593066000003	0.9537564693399997	0.9475377029000004	0.9458174084400005	0.9478185656400006	0.9414061482399997	0.9540027206600008	0.951964249819999	0.9561731418400009	0.9256863058200002	0.9308653482600002	0.9413931234199996	0.9424582204199998	0.9224442899200002	0.9432254612799991	0.92580385388	0.9255509796800002	0.94886771636	0.9498166508399997	0.9479032599800009	0.923412725419999	0.9348390515799995	0.9475362006400002	0.9100766709799993	0.9393415379000013	0.9504348145000003	0.9453780358199989	0.9324905267800008	0.9343458071799992	0.9404849476999996	0.9583373897600004	0.9474764215400004	0.9479421933200002	0.9495658470799995	0.9416611933199992	0.9311840450800006	0.9297083775400005	0.9482308853999997	0.9508803003	0.9443413963400004	0.9560421195399994	0.9484668178799999	0.9549468472200004	0.9456473950200002	0.95691868416	0.9459683217799997	0.9534060085199993	0.9463654048400003	0.9291804269399997	0.9306177008999987	0.9543791640200004	0.9276982785799999	0.9369005459399997	0.9346597147400008	0.9455653925400002	0.9344585890200005	0.94995997476	0.9410772417999995	0.9529099899799995	0.9408683016599999
bul_Cyrl	0.9691709711999997	0.9455393331200004	0.8925806351999999	0.9488559045799991	0.9777528124199995	0.9576177407200006	0.9442171170799997		0.9737102917399997	0.9765017325000003	0.9308957077400005	0.9429851886000001	0.95935663876	0.9730026905599994	0.9715866789199991	0.9633507961000002	0.9709136706799992	0.9704250578000001	0.9575377389599998	0.9709001735399991	0.9732655713800008	0.9601419351599998	0.9530690815999996	0.95848220196	0.9580116126999997	0.956352818880001	0.9204439816000002	0.9656003520000009	0.944807370760001	0.9773443300399992	0.9711169805199995	0.9630417254999997	0.9701376343799994	0.9694253487200004	0.9743813381800003	0.9514061373999998	0.9549499573799997	0.9532405167800007	0.9674970207599999	0.9653064899999991	0.9352130661399994	0.9658880239200014	0.95576439612	0.9424339998399992	0.9670368601999995	0.9744356533599999	0.9736722988000002	0.94954305764	0.9604477462200002	0.9828473529799995	0.9219843813399994	0.9577271678400008	0.9715722465599994	0.9735556225200002	0.9515147961599998	0.9565837894200006	0.9677264427000004	0.9517336357399998	0.9771022893599999	0.9744172083199993	0.9752107323000001	0.9793234050600004	0.9336820983600003	0.9520383636600008	0.9759697547599997	0.9741697688800001	0.9573214312600004	0.9540988859600004	0.9749820728200003	0.9720512355200003	0.9801306333199999	0.9536487640400004	0.9729209254200006	0.9649750179400002	0.9313352010600003	0.95145809162	0.9527108005599993	0.9653579105799996	0.9508883025600001	0.9626892829400003	0.9527989115399998	0.97794716838	0.9531700807999999	0.9378416439999996	0.9647143910599995	0.9410864189600001	0.9699289733800004
cat_Latn	0.9717746484600003	0.9402307024600003	0.8912950319399998	0.9471615527600009	0.97271151388	0.9529542429799999	0.9542773809200005	0.9737102917399997		0.974340336259999	0.92890886378	0.9373837493599996	0.9665877571600001	0.9740411649599997	0.9731456108800004	0.9629814900399994	0.9728048146200001	0.9744018183600001	0.9626087695800001	0.9699111011799998	0.9816140389000008	0.9657550496400008	0.9592030607999996	0.9643291301400001	0.9543794655599998	0.9594496513199998	0.9197736464599996	0.9610376379200001	0.9479166512200007	0.9749363210600005	0.970987130000001	0.9606348307600012	0.9688021287200005	0.9717200352200006	0.9806593925400003	0.9557457557999993	0.9498246919399994	0.9489480595800007	0.9632866192400005	0.9618506675000015	0.9319137035999997	0.9632881307000004	0.9507028560200002	0.9378994923800004	0.9690574383399994	0.9736225794399994	0.9726343591199997	0.9436948168999999	0.9568866051400008	0.9749992291399994	0.9169598915600009	0.9536132189000002	0.9742151752200006	0.9733668612799994	0.9474912332399992	0.9528697063399996	0.9643695048000002	0.9564689363199997	0.9745187165600007	0.9803184931399996	0.9766313216599994	0.9712213417000006	0.9305976718799999	0.9475582310800003	0.9735315466599993	0.97292894028	0.9553829344200007	0.9559309247000006	0.9823791354000003	0.9745547266799996	0.9737004273599996	0.9575225428999989	0.9737640523399997	0.9663626541400004	0.93431366642	0.9468418446000004	0.94881857544	0.9688764313399995	0.9465114851200004	0.9619676341399999	0.94927994622	0.9714792456199994	0.9493961912000001	0.9401052395799993	0.9638245293	0.9458353694000001	0.9688975972600005
ces_Latn	0.9711631334599995	0.9441458840200005	0.8926714956999997	0.9498151194999993	0.9795994956600007	0.9564859031199997	0.9495235792600002	0.9765017325000003	0.974340336259999		0.9310246673599997	0.9406174794000005	0.9630652547799996	0.9740300223799995	0.97497895972	0.9630214543599994	0.9690624397000001	0.973154060300001	0.9603173137800004	0.9734223573800006	0.9737994550400009	0.9656359983399998	0.9568665160800001	0.9627808086000001	0.9576394540600002	0.9581627104000007	0.9216095586599988	0.9633728606600012	0.9482270324200003	0.9806159334199995	0.9725124529399998	0.9624805131599987	0.9685703656000004	0.9729360669600002	0.9741343419799999	0.9544123947599993	0.9541484736400001	0.95226636328	0.967716930040001	0.9648080020199995	0.9333410666000008	0.96580265792	0.9553650165400006	0.9399674259200009	0.9691601082999997	0.9776637329800003	0.9775503881000007	0.9482133069599995	0.9607619156400004	0.9767951275999998	0.9204006390800002	0.9561431377000001	0.9739840755600011	0.9733643817599996	0.9510523987199997	0.9546847188800001	0.9657041607800009	0.9541710574999994	0.9820010786399997	0.9733248221199996	0.9742491530199988	0.9772011268799999	0.9346313347199997	0.9517723622600008	0.9835390876799999	0.9792853934800004	0.9577784944800005	0.9561786570599999	0.9737897791400005	0.9726176577200001	0.9793864262000002	0.9566569250600007	0.9730800752800004	0.9657871074999999	0.9357187478000004	0.9504487402800001	0.9532614328400001	0.9662002758799993	0.9483483290000005	0.9642422271999987	0.9525826695599996	0.9781502267200003	0.95129996546	0.9413463540799998	0.96426471388	0.9454834656199997	0.9686319292999993
